variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_pairwise,5,1,3108,104,0.1222,0.1207,0.1079,0.0092,14656,50.84
flat_full_pairwise,5,2,3108,104,0.1222,0.1179,0.1189,0.0089,14656,50.84
flat_full_pairwise,5,3,3108,104,0.1222,0.1162,0.1081,0.0089,14656,50.84
flat_full_pairwise,5,4,3108,104,0.1222,0.1166,0.1038,0.009,14656,50.96
flat_full_pairwise,5,5,3108,104,0.1222,0.1233,0.1035,0.009,14656,50.96
flat_full_pairwise,10,1,3799,304,0.1219,0.1441,0.1133,0.0092,14656,50.96
flat_full_pairwise,10,2,3799,304,0.1219,0.1134,0.1445,0.0095,14656,50.96
flat_full_pairwise,10,3,3799,304,0.1219,0.1219,0.1131,0.0091,14656,50.96
flat_full_pairwise,10,4,3799,304,0.1219,0.1198,0.1201,0.0143,14656,50.96
flat_full_pairwise,10,5,3799,304,0.1219,0.1292,0.1138,0.0093,14656,50.96
flat_full_pairwise,15,1,4902,604,0.1222,0.1202,0.1423,0.0102,14656,50.96
flat_full_pairwise,15,2,4902,604,0.1222,0.1166,0.1435,0.0099,14656,50.96
flat_full_pairwise,15,3,4902,604,0.1222,0.1202,0.1405,0.0096,14656,50.96
flat_full_pairwise,15,4,4902,604,0.1222,0.114,0.143,0.0096,14656,50.96
flat_full_pairwise,15,5,4902,604,0.1222,0.1175,0.1435,0.0096,14656,50.96
flat_full_pairwise,20,1,6418,1004,0.128,0.118,0.1487,0.0102,14656,50.96
flat_full_pairwise,20,2,6418,1004,0.128,0.1179,0.1498,0.0101,14656,50.96
flat_full_pairwise,20,3,6418,1004,0.128,0.1186,0.1488,0.0102,14656,50.96
flat_full_pairwise,20,4,6418,1004,0.128,0.1174,0.1487,0.0101,14656,50.96
flat_full_pairwise,20,5,6418,1004,0.128,0.1186,0.1557,0.0103,14656,50.96
flat_full_pairwise,25,1,8348,1504,0.1347,0.1202,0.2058,0.011,14656,50.96
flat_full_pairwise,25,2,8348,1504,0.1347,0.1203,0.2049,0.011,14656,50.96
flat_full_pairwise,25,3,8348,1504,0.1347,0.1239,0.209,0.0111,14656,50.96
flat_full_pairwise,25,4,8348,1504,0.1347,0.1186,0.2059,0.0114,14656,50.96
flat_full_pairwise,25,5,8348,1504,0.1347,0.1188,0.2062,0.0113,14656,50.96
flat_full_pairwise,30,1,10689,2104,0.1432,0.1239,0.2255,0.012,14656,50.96
flat_full_pairwise,30,2,10689,2104,0.1432,0.128,0.2211,0.0123,14656,50.96
flat_full_pairwise,30,3,10689,2104,0.1432,0.1241,0.2208,0.0124,14656,50.96
flat_full_pairwise,30,4,10689,2104,0.1432,0.1243,0.2176,0.0121,14656,50.96
flat_full_pairwise,30,5,10689,2104,0.1432,0.1235,0.2214,0.0122,14656,50.96
flat_full_pairwise,40,1,16608,3604,0.163,0.131,0.3417,0.0146,14656,51.09
flat_full_pairwise,40,2,16608,3604,0.163,0.1287,0.3273,0.0165,14656,51.09
flat_full_pairwise,40,3,16608,3604,0.163,0.1335,0.3316,0.0149,14656,51.09
flat_full_pairwise,40,4,16608,3604,0.163,0.1305,0.3309,0.0152,14656,51.09
flat_full_pairwise,40,5,16608,3604,0.163,0.1283,0.3313,0.0148,14656,51.09
flat_full_pairwise,50,1,24179,5504,0.188,0.14,0.3743,0.0178,14656,55.8
flat_full_pairwise,50,2,24179,5504,0.188,0.1385,0.3739,0.0184,14656,55.98
flat_full_pairwise,50,3,24179,5504,0.188,0.1385,0.3871,0.0177,14656,56.09
flat_full_pairwise,50,4,24179,5504,0.188,0.1365,0.3744,0.018,14656,55.93
flat_full_pairwise,50,5,24179,5504,0.188,0.137,0.3801,0.018,14656,56.12
