variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_pairwise,5,1,3108,104,0.1486,0.1196,0.1082,0.0089,14656,50.59
flat_full_pairwise,5,2,3108,104,0.1486,0.1228,0.1077,0.0089,14656,50.59
flat_full_pairwise,5,3,3108,104,0.1486,0.1193,0.1029,0.009,14656,50.59
flat_full_pairwise,5,4,3108,104,0.1486,0.1222,0.1109,0.0091,14656,50.59
flat_full_pairwise,5,5,3108,104,0.1486,0.1272,0.1132,0.0094,14656,50.59
flat_full_pairwise,10,1,3799,304,0.1335,0.1259,0.1195,0.0093,14656,50.59
flat_full_pairwise,10,2,3799,304,0.1335,0.1272,0.1475,0.0096,14656,50.59
flat_full_pairwise,10,3,3799,304,0.1335,0.1274,0.1104,0.0091,14656,50.59
flat_full_pairwise,10,4,3799,304,0.1335,0.1231,0.1105,0.0092,14656,50.59
flat_full_pairwise,10,5,3799,304,0.1335,0.1222,0.1098,0.0092,14656,50.59
flat_full_pairwise,15,1,4902,604,0.1262,0.1215,0.1408,0.0096,14656,50.59
flat_full_pairwise,15,2,4902,604,0.1262,0.1236,0.1395,0.0097,14656,50.72
flat_full_pairwise,15,3,4902,604,0.1262,0.1215,0.1413,0.0096,14656,50.72
flat_full_pairwise,15,4,4902,604,0.1262,0.1201,0.1412,0.0101,14656,50.72
flat_full_pairwise,15,5,4902,604,0.1262,0.1233,0.1437,0.0096,14656,50.72
flat_full_pairwise,20,1,6418,1004,0.1367,0.1229,0.1492,0.0102,14656,50.72
flat_full_pairwise,20,2,6418,1004,0.1367,0.1239,0.151,0.0103,14656,50.72
flat_full_pairwise,20,3,6418,1004,0.1367,0.1237,0.1477,0.0102,14656,50.72
flat_full_pairwise,20,4,6418,1004,0.1367,0.1403,0.1488,0.0101,14656,50.72
flat_full_pairwise,20,5,6418,1004,0.1367,0.1251,0.1584,0.0103,14656,50.72
flat_full_pairwise,25,1,8348,1504,0.1409,0.1249,0.2067,0.0109,14656,50.72
flat_full_pairwise,25,2,8348,1504,0.1409,0.1254,0.2034,0.0112,14656,50.72
flat_full_pairwise,25,3,8348,1504,0.1409,0.1267,0.2052,0.0114,14656,50.72
flat_full_pairwise,25,4,8348,1504,0.1409,0.1271,0.2503,0.0109,14656,50.72
flat_full_pairwise,25,5,8348,1504,0.1409,0.1305,0.2084,0.0109,14656,50.72
flat_full_pairwise,30,1,10689,2104,0.1475,0.1299,0.2179,0.0122,14656,50.72
flat_full_pairwise,30,2,10689,2104,0.1475,0.1295,0.2228,0.012,14656,50.72
flat_full_pairwise,30,3,10689,2104,0.1475,0.1282,0.2145,0.0118,14656,50.72
flat_full_pairwise,30,4,10689,2104,0.1475,0.1291,0.2129,0.012,14656,50.72
flat_full_pairwise,30,5,10689,2104,0.1475,0.1279,0.2148,0.0123,14656,50.72
flat_full_pairwise,40,1,16608,3604,0.1671,0.1351,0.3235,0.0146,14656,50.84
flat_full_pairwise,40,2,16608,3604,0.1671,0.1351,0.3229,0.0146,14656,50.84
flat_full_pairwise,40,3,16608,3604,0.1671,0.1369,0.3412,0.0146,14656,50.84
