variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_a,48,2,24,1,sub_0,27084,3381,0.3339,0.2365,0.9672,0.0092,14656,56.59,0.067,1
hier_a,48,2,24,1,sub_1,27084,3381,0.3339,0.2315,0.9801,0.0088,14656,57.16,0.067,1
hier_a,48,2,24,1,glue,5801,801,0.2221,0.229,0.5833,0.0088,14656,30.02,0.067,1
hier_a,48,2,24,2,sub_0,27084,3381,0.3339,0.222,0.9081,0.009,14656,57.06,0.0723,1
hier_a,48,2,24,2,sub_1,27084,3381,0.3339,0.2223,0.8867,0.0088,14656,55.75,0.0723,1
hier_a,48,2,24,2,glue,5801,801,0.2221,0.2126,0.5302,0.0088,14656,29.84,0.0723,1
hier_a,48,2,24,3,sub_0,27084,3381,0.3339,0.2215,0.9167,0.009,14656,56.41,0.056,1
hier_a,48,2,24,3,sub_1,27084,3381,0.3339,0.2359,0.9044,0.0087,14656,57.32,0.056,1
hier_a,48,2,24,3,glue,5801,801,0.2221,0.2262,0.5003,0.0092,14656,30.25,0.056,1
hier_a,48,4,12,1,sub_0,14445,1629,0.2432,0.3454,1.0131,0.009,14656,40.17,0.0884,1
hier_a,48,4,12,1,sub_1,14445,1629,0.2432,0.2773,1.0663,0.0087,14656,40.46,0.0884,1
hier_a,48,4,12,1,sub_2,14445,1629,0.2432,0.2606,1.0749,0.0084,14656,40.34,0.0884,1
hier_a,48,4,12,1,sub_3,14445,1629,0.2432,0.2384,1.0759,0.0092,14656,39.89,0.0884,1
hier_a,48,4,12,1,glue,7884,1069,0.2057,0.3689,0.7877,0.0118,14656,31.97,0.0884,1
hier_a,48,4,12,2,sub_0,14445,1629,0.2432,0.2521,1.0356,0.0089,14656,40.12,0.0894,1
hier_a,48,4,12,2,sub_1,14445,1629,0.2432,0.2377,1.0232,0.0087,14656,39.28,0.0894,1
hier_a,48,4,12,2,sub_2,14445,1629,0.2432,0.4488,0.926,0.0087,14656,40.46,0.0894,1
hier_a,48,4,12,2,sub_3,14445,1629,0.2432,0.3715,0.9986,0.0111,14656,39.3,0.0894,1
hier_a,48,4,12,2,glue,7884,1069,0.2057,0.2602,0.8497,0.0126,14656,31.34,0.0894,1
hier_a,48,4,12,3,sub_0,14445,1629,0.2432,0.2452,1.0582,0.0089,14656,40.23,0.0803,1
hier_a,48,4,12,3,sub_1,14445,1629,0.2432,0.2471,0.969,0.0086,14656,39.36,0.0803,1
hier_a,48,4,12,3,sub_2,14445,1629,0.2432,0.2643,1.0508,0.0086,14656,39.3,0.0803,1
hier_a,48,4,12,3,sub_3,14445,1629,0.2432,0.3772,1.0012,0.0088,14656,40.36,0.0803,1
hier_a,48,4,12,3,glue,7884,1069,0.2057,0.3582,0.9521,0.0092,14656,32.15,0.0803,1
hier_a,48,8,6,1,sub_0,8126,753,0.2127,0.547,1.2796,0.009,14656,31.29,0.1063,1
hier_a,48,8,6,1,sub_1,8126,753,0.2127,0.4468,1.3952,0.0088,14656,31.42,0.1063,1
hier_a,48,8,6,1,sub_2,8126,753,0.2127,0.4556,1.3685,0.0095,14656,25.78,0.1063,1
hier_a,48,8,6,1,sub_3,8126,753,0.2127,0.3915,1.4424,0.0131,14656,30.36,0.1063,1
hier_a,48,8,6,1,sub_4,8126,753,0.2127,0.4432,1.4039,0.0139,14656,31.96,0.1063,1
hier_a,48,8,6,1,sub_5,8126,753,0.2127,0.409,1.3649,0.0189,14656,31.57,0.1063,1
hier_a,48,8,6,1,sub_6,8126,753,0.2127,0.4999,1.2766,0.0156,14656,31.92,0.1063,1
hier_a,48,8,6,1,sub_7,8126,753,0.2127,0.5191,1.2936,0.0171,14656,31.77,0.1063,1
hier_a,48,8,6,1,glue,12050,1605,0.2265,0.47,1.4213,0.0104,14656,38.59,0.1063,1
hier_a,48,8,6,2,sub_0,8126,753,0.2127,0.6265,1.2968,0.0092,14656,31.87,0.1055,1
hier_a,48,8,6,2,sub_1,8126,753,0.2127,0.448,1.3461,0.0097,14656,30.78,0.1055,1
hier_a,48,8,6,2,sub_2,8126,753,0.2127,0.4316,1.4492,0.0091,14656,31.93,0.1055,1
hier_a,48,8,6,2,sub_3,8126,753,0.2127,0.4659,1.4725,0.0091,14656,31.59,0.1055,1
hier_a,48,8,6,2,sub_4,8126,753,0.2127,0.4039,1.39,0.0087,14656,30.43,0.1055,1
