exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
1,8,2,4,6,1,inner_segment,sub_0,4776,230,0.1827,0.1732,0.1732,,,51.66
1,8,2,4,6,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1091,0.1116,8.0811,0.0116,14656,995.39
1,48,2,24,12,1,inner_segment,sub_0,28480,3168,0.2697,0.1942,0.4755,,,61.58
1,48,2,24,12,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1098,0.1102,8.3432,0.0117,14656,996.87
2,8,2,4,6,1,inner_segment,sub_0,4776,230,0.2019,0.186,0.1643,,,51.38
2,8,2,4,6,1,inner_segment,sub_1,4776,230,0.2019,0.1947,0.1756,,,51.38
2,8,2,4,6,1,outer_recursive,rec_exp2_k_segments,1472248,172,0.1978,0.1795,23.3301,0.0156,14656,2118.51
2,48,2,24,12,1,inner_segment,sub_0,28480,3168,0.3076,0.2312,0.669,,,61.77
2,48,2,24,12,1,inner_segment,sub_1,28480,3168,0.3076,0.2667,0.6743,,,61.89
2,48,2,24,12,1,outer_recursive,rec_exp2_k_segments,1473357,384,0.3042,0.2139,22.8736,0.0145,14656,2076.12
2,8,4,2,6,1,inner_segment,sub_0,3589,88,0.205,0.1966,0.1384,,,51.52
2,8,4,2,6,1,inner_segment,sub_1,3589,88,0.205,0.2062,0.1366,,,51.52
2,8,4,2,6,1,inner_segment,sub_2,3589,88,0.205,0.2081,0.1397,,,51.52
2,8,4,2,6,1,inner_segment,sub_3,3589,88,0.205,0.2123,0.1383,,,51.64
2,8,4,2,6,1,outer_recursive,rec_exp2_k_segments,3006769,326,0.2244,0.1884,41.3884,0.0138,14656,4198.01
2,48,4,12,12,1,inner_segment,sub_0,15184,1524,0.2406,0.2053,0.3366,,,51.59
2,48,4,12,12,1,inner_segment,sub_1,15184,1524,0.2406,0.2322,0.338,,,51.59
2,48,4,12,12,1,inner_segment,sub_2,15184,1524,0.2406,0.2311,0.3393,,,51.71
2,48,4,12,12,1,inner_segment,sub_3,15184,1524,0.2406,0.2311,0.3374,,,51.71
2,48,4,12,12,1,outer_recursive,rec_exp2_k_segments,3008907,670,0.2518,0.1876,40.9049,0.0137,14656,4159.86
