variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_merkle_sort,1504,1,2864190,376005,26.207,6.7031,42.5861,0.0109,14656,4160.95
flat_merkle_sort,1504,2,2864190,376005,26.207,6.6488,42.5359,0.0112,14656,4161.22
flat_merkle_sort,2000,1,3807830,500005,35.2118,10.5407,51.1239,0.0102,14656,5646.2
flat_merkle_sort,2000,2,3807830,500005,35.2118,10.2325,51.6485,0.0101,14656,5646.21
flat_merkle_sort,2504,1,4981408,653549,50.5528,15.0517,78.4444,0.0095,14656,8000.29
flat_merkle_sort,2504,2,4981408,653549,50.5528,16.2135,84.9568,0.0109,14656,8000.31
flat_merkle_sort,3000,1,6224830,816005,68.1287,19.3537,87.9028,0.0205,14656,9736.39
flat_merkle_sort,3000,2,6224830,816005,68.1287,19.7029,88.2832,0.0145,14656,9736.64
flat_merkle_sort,3504,1,7270126,953093,85.4943,25.9198,102.5575,0.0099,14656,11522.53
flat_merkle_sort,3504,2,7270126,953093,85.4943,27.3924,105.8098,0.0106,14656,11522.17
flat_merkle_sort,4000,1,8298830,1088005,107.9748,32.6956,111.4242,0.0247,14656,13041.6
flat_merkle_sort,4000,2,8298830,1088005,107.9748,35.0616,110.9924,0.0237,14656,13169.35
