variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_k2,48,1,1530317,6720,0.3473,0.564,16.0647,0.016,14656,2037.05
recursion_k2_seg,48,1,56960,6336,0.1684,0.3931,0.8831,,,61.96
recursion_k2_outer,48,1,1473357,384,0.1789,0.1709,15.1816,0.016,14656,2037.05
recursion_k2,48,2,1530317,6720,0.3485,0.5679,22.1091,0.0161,14656,2035.0
recursion_k2_seg,48,2,56960,6336,0.1684,0.3875,0.9345,,,61.91
recursion_k2_outer,48,2,1473357,384,0.1801,0.1804,21.1746,0.0161,14656,2035.0
recursion_k2,48,3,1530317,6720,0.402,0.6499,22.1314,0.0149,14656,2036.89
recursion_k2_seg,48,3,56960,6336,0.1684,0.4695,1.1554,,,61.89
recursion_k2_outer,48,3,1473357,384,0.2336,0.1804,20.976,0.0149,14656,2036.89
recursion_k4,48,1,3069643,6766,0.3963,0.8694,36.0338,0.0139,14656,4150.89
recursion_k4_seg,48,1,60736,6096,0.2053,0.6938,1.0509,,,51.67
recursion_k4_outer,48,1,3008907,670,0.191,0.1756,34.9829,0.0139,14656,4150.89
recursion_k4,48,2,3069643,6766,0.4264,1.1481,42.3172,0.014,14656,4109.87
recursion_k4_seg,48,2,60736,6096,0.2053,0.9541,1.4737,,,52.42
recursion_k4_outer,48,2,3008907,670,0.2211,0.194,40.8435,0.014,14656,4109.87
recursion_k4,48,3,3069643,6766,0.4361,1.1352,43.6267,0.0136,14656,4112.76
recursion_k4_seg,48,3,60736,6096,0.2053,0.9461,1.4415,,,52.7
recursion_k4_outer,48,3,3008907,670,0.2308,0.1891,42.1852,0.0136,14656,4112.76
recursion_k8,48,1,6148296,6858,0.3998,1.5485,78.6074,0.0121,14656,8168.57
recursion_k8_seg,48,1,68288,5616,0.1885,1.3614,1.7709,,,51.77
recursion_k8_outer,48,1,6080008,1242,0.2113,0.1871,76.8365,0.0121,14656,8168.57
recursion_k8,48,2,6148296,6858,0.4124,2.0335,80.251,0.0174,14656,8104.85
recursion_k8_seg,48,2,68288,5616,0.1885,1.8336,2.3163,,,53.02
recursion_k8_outer,48,2,6080008,1242,0.2239,0.1999,77.9347,0.0174,14656,8104.85
recursion_k8,48,3,6148296,6858,0.4128,2.0361,79.9072,0.0122,14656,8165.69
recursion_k8_seg,48,3,68288,5616,0.1885,1.8362,2.3261,,,53.62
recursion_k8_outer,48,3,6080008,1242,0.2243,0.1999,77.5811,0.0122,14656,8165.69
recursion_k2,96,1,1600060,15504,0.5819,0.6027,22.8568,0.0153,14656,2094.7
recursion_k2_seg,96,1,126264,14980,0.3862,0.4264,1.6247,,,106.29
recursion_k2_outer,96,1,1473796,524,0.1957,0.1763,21.2321,0.0153,14656,2094.7
recursion_k2,96,2,1600060,15504,0.6239,0.6963,23.2944,0.0156,14656,2080.37
recursion_k2_seg,96,2,126264,14980,0.3862,0.5113,2.2385,,,106.48
recursion_k2_outer,96,2,1473796,524,0.2377,0.185,21.0559,0.0156,14656,2080.37
recursion_k4,96,1,3139385,15550,0.4668,0.9391,40.4965,0.0137,14656,4098.97
recursion_k4_seg,96,1,129696,14696,0.2646,0.7621,1.8348,,,63.07
recursion_k4_outer,96,1,3009689,854,0.2022,0.177,38.6617,0.0137,14656,4098.97
recursion_k4,96,2,3139385,15550,0.5034,1.159,43.3571,0.0136,14656,4199.74
recursion_k4_seg,96,2,129696,14696,0.2646,0.97,2.4414,,,63.27
recursion_k4_outer,96,2,3009689,854,0.2388,0.189,40.9157,0.0136,14656,4199.74
recursion_k8,96,1,6218036,15642,0.4424,1.6493,82.0981,0.0133,14656,8144.3
recursion_k8_seg,96,1,136560,14128,0.2152,1.4601,2.8336,,,52.19
recursion_k8_outer,96,1,6081476,1514,0.2272,0.1892,79.2645,0.0133,14656,8144.3
recursion_k8,96,2,6218036,15642,0.4469,2.087,81.9536,0.0122,14656,8136.38
recursion_k8_seg,96,2,136560,14128,0.2152,1.8803,3.7839,,,53.44
recursion_k8_outer,96,2,6081476,1514,0.2317,0.2067,78.1697,0.0122,14656,8136.38
recursion_k8,96,3,6218036,15642,0.4469,2.0941,81.9271,0.0121,14656,8199.38
recursion_k8_seg,96,3,136560,14128,0.2152,1.8879,3.7871,,,54.17
recursion_k8_outer,96,3,6081476,1514,0.2317,0.2062,78.14,0.0121,14656,8199.38
recursion_k2,256,1,1849005,46896,1.1823,0.8655,25.8919,0.0154,14656,2066.8
recursion_k2_seg,256,1,374546,46008,0.948,0.6778,4.8273,,,287.69
recursion_k2_outer,256,1,1474459,888,0.2343,0.1877,21.0646,0.0154,14656,2066.8
recursion_k2,256,2,1849005,46896,1.1855,0.9583,27.7151,0.0158,14656,2055.86
recursion_k2_seg,256,2,374546,46008,0.948,0.7746,6.7465,,,287.89
recursion_k2_outer,256,2,1474459,888,0.2375,0.1837,20.9686,0.0158,14656,2055.86
recursion_k4,256,1,3388331,46942,0.8261,1.2112,46.5241,0.0137,14656,4132.7
recursion_k4_seg,256,1,377636,45680,0.5406,1.0181,5.6347,,,163.18
recursion_k4_outer,256,1,3010695,1262,0.2855,0.1931,40.8894,0.0137,14656,4132.7
recursion_k4,256,2,3388331,46942,0.7832,1.4258,48.1388,0.0137,14656,4204.08
recursion_k4_seg,256,2,377636,45680,0.5406,1.2396,7.2842,,,163.09
recursion_k4_outer,256,2,3010695,1262,0.2426,0.1862,40.8546,0.0137,14656,4204.08
recursion_k8,256,1,6466984,47034,0.6084,1.9667,86.4471,0.0121,14656,8097.29
recursion_k8_seg,256,1,383816,45024,0.3586,1.7593,6.257,,,92.2
recursion_k8_outer,256,1,6083168,2010,0.2498,0.2074,80.1901,0.0121,14656,8097.29
recursion_k8,256,2,6466984,47034,0.6092,2.4259,86.9599,0.0122,14656,8094.95
recursion_k8_seg,256,2,383816,45024,0.3586,2.2191,8.5026,,,92.08
recursion_k8_outer,256,2,6083168,2010,0.2506,0.2068,78.4573,0.0122,14656,8094.95
recursion_k2,512,1,2308780,105008,2.3953,1.2812,32.6617,0.0152,14656,2036.81
recursion_k2_seg,512,1,833466,103564,2.1241,1.0939,11.7439,,,597.99
recursion_k2_outer,512,1,1475314,1444,0.2712,0.1873,20.9178,0.0152,14656,2036.81
recursion_k2,512,2,2308780,105008,2.3612,1.3035,34.4731,0.0153,14656,2058.11
recursion_k2_seg,512,2,833466,103564,2.1241,1.1166,13.4578,,,598.11
recursion_k2_outer,512,2,1475314,1444,0.2371,0.1869,21.0153,0.0153,14656,2058.11
recursion_k4,512,1,3848105,105054,1.3404,1.6334,53.4253,0.0139,14656,4129.89
recursion_k4_seg,512,1,836212,103192,1.0466,1.4399,12.3522,,,308.76
recursion_k4_outer,512,1,3011893,1862,0.2938,0.1935,41.0731,0.0139,14656,4129.89
recursion_k4,512,2,3848105,105054,1.2826,1.8024,55.2062,0.0142,14656,4149.07
recursion_k4_seg,512,2,836212,103192,1.0466,1.6082,14.3205,,,308.78
recursion_k4_outer,512,2,3011893,1862,0.236,0.1942,40.8857,0.0142,14656,4149.07
recursion_k8,512,1,6926756,105146,0.8003,2.2182,88.9228,0.0122,14656,8114.97
recursion_k8_seg,512,1,841704,102448,0.5484,2.019,10.9214,,,170.15
