exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,4000,8,500,24,1,inner_segment,sub_0,1069359,134248,7.0183,1.2405,19.825,,,1701.83
2,4000,8,500,24,1,inner_segment,sub_1,1069359,134248,7.0183,1.2854,20.8123,,,1701.99
2,4000,8,500,24,1,inner_segment,sub_2,1069359,134248,7.0183,1.283,19.6053,,,1702.08
2,4000,8,500,24,1,inner_segment,sub_3,1069359,134248,7.0183,1.2879,19.6379,,,1701.9
2,4000,8,500,24,1,inner_segment,sub_4,1069359,134248,7.0183,1.2952,19.6241,,,1701.72
2,4000,8,500,24,1,inner_segment,sub_5,1069359,134248,7.0183,1.2871,19.6207,,,1701.92
2,4000,8,500,24,1,inner_segment,sub_6,1069359,134248,7.0183,1.2835,19.5969,,,1701.93
2,4000,8,500,24,1,inner_segment,sub_7,1069359,134248,7.0183,1.2831,19.6291,,,1701.86
2,4000,8,500,24,1,outer_recursive,recursion,6096144,10202,0.425,0.2534,77.7622,0.0122,14656,8111.21
2,4000,8,500,24,2,inner_segment,sub_0,1069359,134248,7.0183,1.2667,19.67,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_1,1069359,134248,7.0183,1.2859,19.5929,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_2,1069359,134248,7.0183,1.2741,19.688,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_3,1069359,134248,7.0183,1.3419,19.6542,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_4,1069359,134248,7.0183,1.3033,19.6177,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_5,1069359,134248,7.0183,1.2985,19.5637,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_6,1069359,134248,7.0183,1.2805,19.6294,,,1765.99
2,4000,8,500,24,2,inner_segment,sub_7,1069359,134248,7.0183,1.2915,19.6237,,,1765.99
2,4000,8,500,24,2,outer_recursive,recursion,6096144,10202,0.2398,0.243,77.8161,0.0121,14656,8149.27
2,4000,4,1000,24,1,inner_segment,sub_0,2137859,268748,14.0781,2.2513,35.4757,,,3279.84
2,4000,4,1000,24,1,inner_segment,sub_1,2137859,268748,14.0781,2.2836,37.2167,,,3279.6
2,4000,4,1000,24,1,inner_segment,sub_2,2137859,268748,14.0781,2.2844,37.2884,,,3279.69
2,4000,4,1000,24,1,inner_segment,sub_3,2137859,268748,14.0781,2.3032,37.2455,,,3279.54
2,4000,4,1000,24,1,outer_recursive,recursion,3020927,9102,0.3681,0.2258,40.7738,0.0136,14656,4176.1
2,4000,4,1000,24,2,inner_segment,sub_0,2137859,268748,14.0781,2.3461,37.2078,,,3279.75
2,4000,4,1000,24,2,inner_segment,sub_1,2137859,268748,14.0781,2.2856,37.2161,,,3279.51
2,4000,4,1000,24,2,inner_segment,sub_2,2137859,268748,14.0781,2.2866,37.1953,,,3279.82
2,4000,4,1000,24,2,inner_segment,sub_3,2137859,268748,14.0781,2.2808,37.1977,,,3279.89
2,4000,4,1000,24,2,outer_recursive,recursion,3020927,9102,0.2323,0.2257,40.8134,0.0136,14656,4161.55
2,4000,2,2000,24,1,inner_segment,sub_0,4274859,537748,30.0033,4.3094,70.7189,,,6195.07
2,4000,2,2000,24,1,inner_segment,sub_1,4274859,537748,30.0033,4.2772,70.4696,,,6195.12
2,4000,2,2000,24,1,outer_recursive,recursion,1483319,8552,0.3426,0.2207,20.8471,0.0153,14656,2144.29
2,4000,2,2000,24,2,inner_segment,sub_0,4274859,537748,30.0033,4.3494,70.6571,,,6195.1
2,4000,2,2000,24,2,inner_segment,sub_1,4274859,537748,30.0033,4.2941,70.5832,,,6195.05
2,4000,2,2000,24,2,outer_recursive,recursion,1483319,8552,0.2206,0.2199,20.9303,0.015,14656,2103.27
