variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_k2,48,1,1530317,6720,0.3473,0.3684,15.6302,0.016,14656,2037.05
recursion_k2_seg,48,1,56960,6336,0.1684,0.1975,0.4486,,,61.96
recursion_k2_outer,48,1,1473357,384,0.1789,0.1709,15.1816,0.016,14656,2037.05
recursion_k2,48,2,1530317,6720,0.3485,0.3796,21.6442,0.0161,14656,2035.0
recursion_k2_seg,48,2,56960,6336,0.1684,0.1992,0.4696,,,61.91
recursion_k2_outer,48,2,1473357,384,0.1801,0.1804,21.1746,0.0161,14656,2035.0
recursion_k2,48,3,1530317,6720,0.402,0.4292,21.5581,0.0149,14656,2036.89
recursion_k2_seg,48,3,56960,6336,0.1684,0.2488,0.5821,,,61.89
recursion_k2_outer,48,3,1473357,384,0.2336,0.1804,20.976,0.0149,14656,2036.89
recursion_k4,48,1,3069643,6766,0.3963,0.3508,35.2476,0.0139,14656,4150.89
recursion_k4_seg,48,1,60736,6096,0.2053,0.1752,0.2647,,,51.67
recursion_k4_outer,48,1,3008907,670,0.191,0.1756,34.9829,0.0139,14656,4150.89
recursion_k4,48,2,3069643,6766,0.4264,0.4475,41.2491,0.014,14656,4109.87
recursion_k4_seg,48,2,60736,6096,0.2053,0.2535,0.4056,,,52.42
recursion_k4_outer,48,2,3008907,670,0.2211,0.194,40.8435,0.014,14656,4109.87
recursion_k4,48,3,3069643,6766,0.4361,0.4414,42.5986,0.0136,14656,4112.76
recursion_k4_seg,48,3,60736,6096,0.2053,0.2523,0.4134,,,52.7
recursion_k4_outer,48,3,3008907,670,0.2308,0.1891,42.1852,0.0136,14656,4112.76
recursion_k8,48,1,6148296,6858,0.3998,0.3643,77.0645,0.0121,14656,8168.57
recursion_k8_seg,48,1,68288,5616,0.1885,0.1772,0.228,,,51.77
recursion_k8_outer,48,1,6080008,1242,0.2113,0.1871,76.8365,0.0121,14656,8168.57
recursion_k8,48,2,6148296,6858,0.4124,0.4552,78.2827,0.0174,14656,8104.85
recursion_k8_seg,48,2,68288,5616,0.1885,0.2553,0.348,,,53.02
recursion_k8_outer,48,2,6080008,1242,0.2239,0.1999,77.9347,0.0174,14656,8104.85
recursion_k8,48,3,6148296,6858,0.4128,0.4585,77.9309,0.0122,14656,8165.69
recursion_k8_seg,48,3,68288,5616,0.1885,0.2586,0.3498,,,53.62
recursion_k8_outer,48,3,6080008,1242,0.2243,0.1999,77.5811,0.0122,14656,8165.69
recursion_k2,96,1,1600060,15504,0.5819,0.3947,22.046,0.0153,14656,2094.7
recursion_k2_seg,96,1,126264,14980,0.3862,0.2184,0.8139,,,106.29
recursion_k2_outer,96,1,1473796,524,0.1957,0.1763,21.2321,0.0153,14656,2094.7
recursion_k2,96,2,1600060,15504,0.6239,0.4662,22.1817,0.0156,14656,2080.37
recursion_k2_seg,96,2,126264,14980,0.3862,0.2812,1.1258,,,106.48
recursion_k2_outer,96,2,1473796,524,0.2377,0.185,21.0559,0.0156,14656,2080.37
recursion_k4,96,1,3139385,15550,0.4668,0.3723,39.1311,0.0137,14656,4098.97
recursion_k4_seg,96,1,129696,14696,0.2646,0.1953,0.4694,,,63.07
recursion_k4_outer,96,1,3009689,854,0.2022,0.177,38.6617,0.0137,14656,4098.97
recursion_k4,96,2,3139385,15550,0.5034,0.4436,41.5321,0.0136,14656,4199.74
recursion_k4_seg,96,2,129696,14696,0.2646,0.2546,0.6164,,,63.27
recursion_k4_outer,96,2,3009689,854,0.2388,0.189,40.9157,0.0136,14656,4199.74
