exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,48,2,24,12,1,inner_segment,sub_0,28480,3168,0.1684,0.1956,0.4345,,,61.78
2,48,2,24,12,1,inner_segment,sub_1,28480,3168,0.1684,0.1975,0.4486,,,61.96
2,48,2,24,12,1,outer_recursive,recursion,1473357,384,0.1789,0.1709,15.1816,0.016,14656,2037.05
2,48,2,24,12,2,inner_segment,sub_0,28480,3168,0.1684,0.1883,0.4696,,,61.59
2,48,2,24,12,2,inner_segment,sub_1,28480,3168,0.1684,0.1992,0.4649,,,61.91
2,48,2,24,12,2,outer_recursive,recursion,1473357,384,0.1801,0.1804,21.1746,0.0161,14656,2035.0
2,48,2,24,12,3,inner_segment,sub_0,28480,3168,0.1684,0.2207,0.5733,,,61.7
2,48,2,24,12,3,inner_segment,sub_1,28480,3168,0.1684,0.2488,0.5821,,,61.89
2,48,2,24,12,3,outer_recursive,recursion,1473357,384,0.2336,0.1804,20.976,0.0149,14656,2036.89
2,48,4,12,12,1,inner_segment,sub_0,15184,1524,0.2053,0.1719,0.2596,,,51.54
2,48,4,12,12,1,inner_segment,sub_1,15184,1524,0.2053,0.1752,0.2647,,,51.54
2,48,4,12,12,1,inner_segment,sub_2,15184,1524,0.2053,0.1748,0.2629,,,51.67
2,48,4,12,12,1,inner_segment,sub_3,15184,1524,0.2053,0.1719,0.2637,,,51.67
2,48,4,12,12,1,outer_recursive,recursion,3008907,670,0.191,0.1756,34.9829,0.0139,14656,4150.89
2,48,4,12,12,2,inner_segment,sub_0,15184,1524,0.2053,0.2135,0.3618,,,52.42
2,48,4,12,12,2,inner_segment,sub_1,15184,1524,0.2053,0.2535,0.4056,,,52.42
2,48,4,12,12,2,inner_segment,sub_2,15184,1524,0.2053,0.2506,0.3465,,,52.42
2,48,4,12,12,2,inner_segment,sub_3,15184,1524,0.2053,0.2365,0.3598,,,52.42
2,48,4,12,12,2,outer_recursive,recursion,3008907,670,0.2211,0.194,40.8435,0.014,14656,4109.87
2,48,4,12,12,3,inner_segment,sub_0,15184,1524,0.2053,0.2104,0.3421,,,52.7
2,48,4,12,12,3,inner_segment,sub_1,15184,1524,0.2053,0.2523,0.4134,,,52.7
2,48,4,12,12,3,inner_segment,sub_2,15184,1524,0.2053,0.2518,0.3425,,,52.7
2,48,4,12,12,3,inner_segment,sub_3,15184,1524,0.2053,0.2316,0.3435,,,52.7
2,48,4,12,12,3,outer_recursive,recursion,3008907,670,0.2308,0.1891,42.1852,0.0136,14656,4112.76
2,48,8,6,12,1,inner_segment,sub_0,8536,702,0.1885,0.1686,0.2192,,,51.39
2,48,8,6,12,1,inner_segment,sub_1,8536,702,0.1885,0.1679,0.2196,,,51.39
2,48,8,6,12,1,inner_segment,sub_2,8536,702,0.1885,0.1704,0.2201,,,51.39
2,48,8,6,12,1,inner_segment,sub_3,8536,702,0.1885,0.1684,0.2184,,,51.52
2,48,8,6,12,1,inner_segment,sub_4,8536,702,0.1885,0.1679,0.227,,,51.52
2,48,8,6,12,1,inner_segment,sub_5,8536,702,0.1885,0.171,0.228,,,51.52
2,48,8,6,12,1,inner_segment,sub_6,8536,702,0.1885,0.1772,0.2196,,,51.64
2,48,8,6,12,1,inner_segment,sub_7,8536,702,0.1885,0.17,0.219,,,51.77
2,48,8,6,12,1,outer_recursive,recursion,6080008,1242,0.2113,0.1871,76.8365,0.0121,14656,8168.57
2,48,8,6,12,2,inner_segment,sub_0,8536,702,0.1885,0.21,0.2788,,,53.02
2,48,8,6,12,2,inner_segment,sub_1,8536,702,0.1885,0.2397,0.348,,,53.02
2,48,8,6,12,2,inner_segment,sub_2,8536,702,0.1885,0.2553,0.3042,,,53.02
2,48,8,6,12,2,inner_segment,sub_3,8536,702,0.1885,0.2296,0.2823,,,53.02
2,48,8,6,12,2,inner_segment,sub_4,8536,702,0.1885,0.2234,0.2753,,,53.02
2,48,8,6,12,2,inner_segment,sub_5,8536,702,0.1885,0.2266,0.2757,,,53.02
2,48,8,6,12,2,inner_segment,sub_6,8536,702,0.1885,0.225,0.2778,,,53.02
2,48,8,6,12,2,inner_segment,sub_7,8536,702,0.1885,0.224,0.2742,,,53.02
2,48,8,6,12,2,outer_recursive,recursion,6080008,1242,0.2239,0.1999,77.9347,0.0174,14656,8104.85
2,48,8,6,12,3,inner_segment,sub_0,8536,702,0.1885,0.2087,0.2798,,,53.62
2,48,8,6,12,3,inner_segment,sub_1,8536,702,0.1885,0.2406,0.3498,,,53.62
2,48,8,6,12,3,inner_segment,sub_2,8536,702,0.1885,0.2586,0.3119,,,53.62
2,48,8,6,12,3,inner_segment,sub_3,8536,702,0.1885,0.2265,0.2737,,,53.62
2,48,8,6,12,3,inner_segment,sub_4,8536,702,0.1885,0.2304,0.2752,,,53.62
2,48,8,6,12,3,inner_segment,sub_5,8536,702,0.1885,0.2235,0.2779,,,53.62
2,48,8,6,12,3,inner_segment,sub_6,8536,702,0.1885,0.2229,0.2825,,,53.62
2,48,8,6,12,3,inner_segment,sub_7,8536,702,0.1885,0.225,0.2753,,,53.62
2,48,8,6,12,3,outer_recursive,recursion,6080008,1242,0.2243,0.1999,77.5811,0.0122,14656,8165.69
2,96,8,12,14,1,inner_segment,sub_0,17070,1766,0.2152,0.1754,0.3533,,,51.94
2,96,8,12,14,1,inner_segment,sub_1,17070,1766,0.2152,0.1806,0.3494,,,51.94
2,96,8,12,14,1,inner_segment,sub_2,17070,1766,0.2152,0.1869,0.3486,,,52.06
2,96,8,12,14,1,inner_segment,sub_3,17070,1766,0.2152,0.1813,0.3529,,,52.06
2,96,8,12,14,1,inner_segment,sub_4,17070,1766,0.2152,0.1814,0.3543,,,52.19
2,96,8,12,14,1,inner_segment,sub_5,17070,1766,0.2152,0.181,0.3598,,,52.19
2,96,8,12,14,1,inner_segment,sub_6,17070,1766,0.2152,0.186,0.357,,,52.19
2,96,8,12,14,1,inner_segment,sub_7,17070,1766,0.2152,0.1875,0.3583,,,52.19
2,96,8,12,14,1,outer_recursive,recursion,6081476,1514,0.2272,0.1892,79.2645,0.0133,14656,8144.3
2,96,8,12,14,2,inner_segment,sub_0,17070,1766,0.2152,0.1901,0.4571,,,53.44
2,96,8,12,14,2,inner_segment,sub_1,17070,1766,0.2152,0.2409,0.4693,,,53.44
2,96,8,12,14,2,inner_segment,sub_2,17070,1766,0.2152,0.243,0.4765,,,53.44
2,96,8,12,14,2,inner_segment,sub_3,17070,1766,0.2152,0.2393,0.4726,,,53.44
2,96,8,12,14,2,inner_segment,sub_4,17070,1766,0.2152,0.2435,0.4729,,,53.44
2,96,8,12,14,2,inner_segment,sub_5,17070,1766,0.2152,0.241,0.4696,,,53.44
2,96,8,12,14,2,inner_segment,sub_6,17070,1766,0.2152,0.2453,0.4945,,,53.44
2,96,8,12,14,2,inner_segment,sub_7,17070,1766,0.2152,0.2372,0.4714,,,53.44
2,96,8,12,14,2,outer_recursive,recursion,6081476,1514,0.2317,0.2067,78.1697,0.0122,14656,8136.38
2,96,8,12,14,3,inner_segment,sub_0,17070,1766,0.2152,0.1907,0.4551,,,54.17
2,96,8,12,14,3,inner_segment,sub_1,17070,1766,0.2152,0.2432,0.4778,,,54.17
2,96,8,12,14,3,inner_segment,sub_2,17070,1766,0.2152,0.2469,0.4776,,,54.17
2,96,8,12,14,3,inner_segment,sub_3,17070,1766,0.2152,0.2433,0.4771,,,54.17
2,96,8,12,14,3,inner_segment,sub_4,17070,1766,0.2152,0.2375,0.4708,,,54.17
2,96,8,12,14,3,inner_segment,sub_5,17070,1766,0.2152,0.2432,0.4756,,,54.17
2,96,8,12,14,3,inner_segment,sub_6,17070,1766,0.2152,0.2391,0.4762,,,54.17
2,96,8,12,14,3,inner_segment,sub_7,17070,1766,0.2152,0.244,0.4769,,,54.17
2,96,8,12,14,3,outer_recursive,recursion,6081476,1514,0.2317,0.2062,78.14,0.0121,14656,8199.38
2,96,4,24,14,1,inner_segment,sub_0,32424,3674,0.2646,0.1847,0.4694,,,62.75
2,96,4,24,14,1,inner_segment,sub_1,32424,3674,0.2646,0.1953,0.455,,,62.88
2,96,4,24,14,1,inner_segment,sub_2,32424,3674,0.2646,0.192,0.4551,,,62.83
2,96,4,24,14,1,inner_segment,sub_3,32424,3674,0.2646,0.1901,0.4553,,,63.07
2,96,4,24,14,1,outer_recursive,recursion,3009689,854,0.2022,0.177,38.6617,0.0137,14656,4098.97
2,96,4,24,14,2,inner_segment,sub_0,32424,3674,0.2646,0.2067,0.597,,,63.22
2,96,4,24,14,2,inner_segment,sub_1,32424,3674,0.2646,0.2546,0.6138,,,63.23
2,96,4,24,14,2,inner_segment,sub_2,32424,3674,0.2646,0.2543,0.6142,,,62.96
2,96,4,24,14,2,inner_segment,sub_3,32424,3674,0.2646,0.2544,0.6164,,,63.27
2,96,4,24,14,2,outer_recursive,recursion,3009689,854,0.2388,0.189,40.9157,0.0136,14656,4199.74
2,96,2,48,14,1,inner_segment,sub_0,63132,7490,0.3862,0.208,0.8108,,,106.29
2,96,2,48,14,1,inner_segment,sub_1,63132,7490,0.3862,0.2184,0.8139,,,106.1
2,96,2,48,14,1,outer_recursive,recursion,1473796,524,0.1957,0.1763,21.2321,0.0153,14656,2094.7
2,96,2,48,14,2,inner_segment,sub_0,63132,7490,0.3862,0.2301,1.1127,,,106.48
2,96,2,48,14,2,inner_segment,sub_1,63132,7490,0.3862,0.2812,1.1258,,,104.04
2,96,2,48,14,2,outer_recursive,recursion,1473796,524,0.2377,0.185,21.0559,0.0156,14656,2080.37
2,256,2,128,16,1,inner_segment,sub_0,187273,23004,0.948,0.3322,2.3985,,,287.54
2,256,2,128,16,1,inner_segment,sub_1,187273,23004,0.948,0.3456,2.4288,,,287.69
2,256,2,128,16,1,outer_recursive,recursion,1474459,888,0.2343,0.1877,21.0646,0.0154,14656,2066.8
2,256,2,128,16,2,inner_segment,sub_0,187273,23004,0.948,0.3534,3.3729,,,287.89
2,256,2,128,16,2,inner_segment,sub_1,187273,23004,0.948,0.4212,3.3736,,,287.8
2,256,2,128,16,2,outer_recursive,recursion,1474459,888,0.2375,0.1837,20.9686,0.0158,14656,2055.86
2,256,4,64,16,1,inner_segment,sub_0,94409,11420,0.5406,0.2479,1.2982,,,163.05
2,256,4,64,16,1,inner_segment,sub_1,94409,11420,0.5406,0.2529,1.3132,,,163.05
2,256,4,64,16,1,inner_segment,sub_2,94409,11420,0.5406,0.2578,1.3198,,,163.18
2,256,4,64,16,1,inner_segment,sub_3,94409,11420,0.5406,0.2595,1.7035,,,162.78
2,256,4,64,16,1,outer_recursive,recursion,3010695,1262,0.2855,0.1931,40.8894,0.0137,14656,4132.7
2,256,4,64,16,2,inner_segment,sub_0,94409,11420,0.5406,0.2586,1.8125,,,163.02
2,256,4,64,16,2,inner_segment,sub_1,94409,11420,0.5406,0.3291,1.831,,,162.88
2,256,4,64,16,2,inner_segment,sub_2,94409,11420,0.5406,0.3248,1.8222,,,163.03
2,256,4,64,16,2,inner_segment,sub_3,94409,11420,0.5406,0.3271,1.8185,,,163.09
2,256,4,64,16,2,outer_recursive,recursion,3010695,1262,0.2426,0.1862,40.8546,0.0137,14656,4204.08
2,256,8,32,16,1,inner_segment,sub_0,47977,5628,0.3586,0.2172,0.7903,,,91.92
2,256,8,32,16,1,inner_segment,sub_1,47977,5628,0.3586,0.2126,0.7633,,,92.14
2,256,8,32,16,1,inner_segment,sub_2,47977,5628,0.3586,0.2166,0.8205,,,92.2
2,256,8,32,16,1,inner_segment,sub_3,47977,5628,0.3586,0.2311,0.7647,,,91.8
2,256,8,32,16,1,inner_segment,sub_4,47977,5628,0.3586,0.2204,0.7608,,,91.79
2,256,8,32,16,1,inner_segment,sub_5,47977,5628,0.3586,0.2164,0.7827,,,91.94
2,256,8,32,16,1,inner_segment,sub_6,47977,5628,0.3586,0.2201,0.7873,,,91.91
2,256,8,32,16,1,inner_segment,sub_7,47977,5628,0.3586,0.2249,0.7874,,,92.12
2,256,8,32,16,1,outer_recursive,recursion,6083168,2010,0.2498,0.2074,80.1901,0.0121,14656,8097.29
2,256,8,32,16,2,inner_segment,sub_0,47977,5628,0.3586,0.2268,1.0452,,,92.04
2,256,8,32,16,2,inner_segment,sub_1,47977,5628,0.3586,0.2829,1.0416,,,92.08
2,256,8,32,16,2,inner_segment,sub_2,47977,5628,0.3586,0.2857,1.078,,,91.97
2,256,8,32,16,2,inner_segment,sub_3,47977,5628,0.3586,0.2796,1.0723,,,91.95
2,256,8,32,16,2,inner_segment,sub_4,47977,5628,0.3586,0.2827,1.0885,,,91.85
2,256,8,32,16,2,inner_segment,sub_5,47977,5628,0.3586,0.2885,1.0513,,,92.03
2,256,8,32,16,2,inner_segment,sub_6,47977,5628,0.3586,0.2772,1.0436,,,91.68
2,256,8,32,16,2,inner_segment,sub_7,47977,5628,0.3586,0.2957,1.0821,,,92.04
2,256,8,32,16,2,outer_recursive,recursion,6083168,2010,0.2506,0.2068,78.4573,0.0122,14656,8094.95
