variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_k2,48,1,1530317,6720,0.3473,0.564,16.0647,0.016,14656,2037.05
recursion_k2,48,2,1530317,6720,0.3485,0.5679,22.1091,0.0161,14656,2035.0
recursion_k2,48,3,1530317,6720,0.402,0.6499,22.1314,0.0149,14656,2036.89
recursion_k4,48,1,3069643,6766,0.3963,0.8694,36.0338,0.0139,14656,4150.89
recursion_k4,48,2,3069643,6766,0.4264,1.1481,42.3172,0.014,14656,4109.87
recursion_k4,48,3,3069643,6766,0.4361,1.1352,43.6267,0.0136,14656,4112.76
recursion_k8,48,1,6148296,6858,0.3998,1.5485,78.6074,0.0121,14656,8168.57
recursion_k8,48,2,6148296,6858,0.4124,2.0335,80.251,0.0174,14656,8104.85
recursion_k8,48,3,6148296,6858,0.4128,2.0361,79.9072,0.0122,14656,8165.69
recursion_k2,96,1,1600060,15504,0.5819,0.6027,22.8568,0.0153,14656,2094.7
recursion_k2,96,2,1600060,15504,0.6239,0.6963,23.2944,0.0156,14656,2080.37
recursion_k4,96,1,3139385,15550,0.4668,0.9391,40.4965,0.0137,14656,4098.97
recursion_k4,96,2,3139385,15550,0.5034,1.159,43.3571,0.0136,14656,4199.74
recursion_k8,96,1,6218036,15642,0.4424,1.6493,82.0981,0.0133,14656,8144.3
recursion_k8,96,2,6218036,15642,0.4469,2.087,81.9536,0.0122,14656,8136.38
recursion_k8,96,3,6218036,15642,0.4469,2.0941,81.9271,0.0121,14656,8199.38
recursion_k2,256,1,1849005,46896,1.1823,0.8655,25.8919,0.0154,14656,2066.8
recursion_k2,256,2,1849005,46896,1.1855,0.9583,27.7151,0.0158,14656,2055.86
recursion_k4,256,1,3388331,46942,0.8261,1.2112,46.5241,0.0137,14656,4132.7
recursion_k4,256,2,3388331,46942,0.7832,1.4258,48.1388,0.0137,14656,4204.08
recursion_k8,256,1,6466984,47034,0.6084,1.9667,86.4471,0.0121,14656,8097.29
recursion_k8,256,2,6466984,47034,0.6092,2.4259,86.9599,0.0122,14656,8094.95
recursion_k2,512,1,2308780,105008,2.3953,1.2812,32.6617,0.0152,14656,2036.81
recursion_k2,512,2,2308780,105008,2.3612,1.3035,34.4731,0.0153,14656,2058.11
recursion_k4,512,1,3848105,105054,1.3404,1.6334,53.4253,0.0139,14656,4129.89
recursion_k4,512,2,3848105,105054,1.2826,1.8024,55.2062,0.0142,14656,4149.07
recursion_k8,512,1,6926756,105146,0.8003,2.2182,88.9228,0.0122,14656,8114.97
recursion_k8,512,2,6926756,105146,0.7863,2.749,93.4628,0.012,14656,8148.72
recursion_k2,768,1,2856365,174384,3.9671,1.7863,44.202,0.0153,14656,2100.41
recursion_k2,768,2,2856365,174384,3.9237,1.8159,44.1196,0.0153,14656,2149.91
recursion_k4,768,1,4395691,174430,2.088,2.0985,63.4241,0.0136,14656,4178.69
recursion_k4,768,2,4395691,174430,2.0322,2.1877,65.3436,0.014,14656,4144.47
recursion_k8,768,1,7474344,174522,1.1802,2.6983,97.4631,0.0121,14656,8185.23
recursion_k8,768,2,7474344,174522,1.147,3.1343,102.8421,0.012,14656,8145.87
recursion_k2,1000,1,3273037,227048,4.9511,2.1998,40.6061,0.0157,14656,2092.25
recursion_k2,1000,2,3273037,227048,4.9484,2.2431,48.4438,0.0149,14656,2076.34
recursion_k4,1000,1,4812363,227094,2.5719,2.3121,63.2518,0.0138,14656,4166.11
recursion_k4,1000,2,4812363,227094,2.4967,2.5132,68.7443,0.0139,14656,4122.21
recursion_k8,1000,1,7891008,227186,1.3983,3.0523,99.0348,0.0125,14656,8138.33
recursion_k8,1000,2,7891008,227186,1.3513,3.5119,107.9431,0.0122,14656,8277.09
