variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_sort,5,1,3143,114,0.1508,0.1147,0.1065,0.0092,14656,50.61
flat_full_sort,5,2,3143,114,0.1508,0.1156,0.1096,0.0088,14656,50.61
flat_full_sort,5,3,3143,114,0.1508,0.1137,0.1139,0.0098,14656,50.61
flat_full_sort,5,4,3143,114,0.1508,0.119,0.1051,0.009,14656,50.61
flat_full_sort,5,5,3143,114,0.1508,0.1151,0.1036,0.0091,14656,50.61
flat_full_sort,10,1,3819,274,0.1414,0.1165,0.1211,0.0094,14656,50.61
flat_full_sort,10,2,3819,274,0.1414,0.1157,0.1505,0.0107,14656,50.73
flat_full_sort,10,3,3819,274,0.1414,0.1479,0.1171,0.0093,14656,50.73
flat_full_sort,10,4,3819,274,0.1414,0.1155,0.1104,0.0093,14656,50.73
flat_full_sort,10,5,3819,274,0.1414,0.1137,0.1185,0.0094,14656,50.73
flat_full_sort,15,1,4857,484,0.1308,0.1197,0.1392,0.0098,14656,50.73
flat_full_sort,15,2,4857,484,0.1308,0.1194,0.136,0.0097,14656,50.73
flat_full_sort,15,3,4857,484,0.1308,0.1173,0.1351,0.0103,14656,50.73
flat_full_sort,15,4,4857,484,0.1308,0.1164,0.1383,0.0096,14656,50.73
flat_full_sort,15,5,4857,484,0.1308,0.1174,0.1385,0.0095,14656,50.73
flat_full_sort,20,1,6259,744,0.1272,0.1162,0.141,0.0104,14656,50.73
flat_full_sort,20,2,6259,744,0.1272,0.1197,0.1421,0.0102,14656,50.73
flat_full_sort,20,3,6259,744,0.1272,0.1164,0.1484,0.0103,14656,50.73
flat_full_sort,20,4,6259,744,0.1272,0.1178,0.1466,0.0101,14656,50.73
flat_full_sort,20,5,6259,744,0.1272,0.1187,0.146,0.0103,14656,50.73
flat_full_sort,25,1,8023,1054,0.1259,0.1172,0.1516,0.011,14656,50.73
flat_full_sort,25,2,8023,1054,0.1259,0.1199,0.1561,0.0111,14656,50.73
flat_full_sort,25,3,8023,1054,0.1259,0.1193,0.155,0.0111,14656,50.73
flat_full_sort,25,4,8023,1054,0.1259,0.1188,0.1508,0.011,14656,50.73
flat_full_sort,25,5,8023,1054,0.1259,0.1294,0.1564,0.011,14656,50.73
flat_full_sort,30,1,10149,1414,0.13,0.121,0.2106,0.012,14656,50.73
flat_full_sort,30,2,10149,1414,0.13,0.1398,0.2101,0.0119,14656,50.86
flat_full_sort,30,3,10149,1414,0.13,0.1216,0.2089,0.0121,14656,50.86
flat_full_sort,30,4,10149,1414,0.13,0.1204,0.2054,0.012,14656,50.86
flat_full_sort,30,5,10149,1414,0.13,0.1196,0.2044,0.0119,14656,50.86
flat_full_sort,40,1,15489,2284,0.1365,0.1226,0.2286,0.0145,14656,50.98
