variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_invperm,5,1,3115,95,0.1636,0.1113,0.1095,0.0087,14656,50.67
flat_full_invperm,5,2,3115,95,0.1636,0.1178,0.1115,0.009,14656,50.67
flat_full_invperm,5,3,3115,95,0.1636,0.1171,0.1068,0.0092,14656,50.67
flat_full_invperm,5,4,3115,95,0.1636,0.1269,0.1123,0.0089,14656,50.67
flat_full_invperm,5,5,3115,95,0.1636,0.1156,0.1121,0.0092,14656,50.67
flat_full_invperm,10,1,3761,235,0.1208,0.1172,0.1139,0.0091,14656,50.67
flat_full_invperm,10,2,3761,235,0.1208,0.1119,0.1521,0.0098,14656,50.67
flat_full_invperm,10,3,3761,235,0.1208,0.1177,0.1074,0.0093,14656,50.67
flat_full_invperm,10,4,3761,235,0.1208,0.1127,0.1089,0.0095,14656,50.67
flat_full_invperm,10,5,3761,235,0.1208,0.112,0.1108,0.0092,14656,50.67
flat_full_invperm,15,1,4769,425,0.1151,0.1094,0.1352,0.0095,14656,50.67
flat_full_invperm,15,2,4769,425,0.1151,0.1099,0.1426,0.0097,14656,50.67
flat_full_invperm,15,3,4769,425,0.1151,0.1113,0.1428,0.0095,14656,50.67
flat_full_invperm,15,4,4769,425,0.1151,0.1117,0.1387,0.0099,14656,50.67
flat_full_invperm,15,5,4769,425,0.1151,0.1138,0.1387,0.0096,14656,50.67
flat_full_invperm,20,1,6140,665,0.1163,0.1114,0.1427,0.0109,14656,50.67
flat_full_invperm,20,2,6140,665,0.1163,0.1111,0.1684,0.0104,14656,50.67
flat_full_invperm,20,3,6140,665,0.1163,0.122,0.1685,0.0101,14656,50.67
flat_full_invperm,20,4,6140,665,0.1163,0.1179,0.162,0.0103,14656,50.67
flat_full_invperm,20,5,6140,665,0.1163,0.1255,0.1611,0.0108,14656,50.67
flat_full_invperm,25,1,7875,955,0.1362,0.1172,0.1697,0.0116,14656,50.8
flat_full_invperm,25,2,7875,955,0.1362,0.1221,0.1699,0.0113,14656,50.8
flat_full_invperm,25,3,7875,955,0.1362,0.1165,0.1695,0.011,14656,50.8
flat_full_invperm,25,4,7875,955,0.1362,0.118,0.1689,0.0117,14656,50.8
flat_full_invperm,25,5,7875,955,0.1362,0.1151,0.1714,0.011,14656,50.8
flat_full_invperm,30,1,9971,1295,0.121,0.1216,0.2303,0.012,14656,50.92
flat_full_invperm,30,2,9971,1295,0.121,0.1138,0.2147,0.012,14656,50.92
flat_full_invperm,30,3,9971,1295,0.121,0.1514,0.2358,0.0121,14656,50.92
flat_full_invperm,30,4,9971,1295,0.121,0.1431,0.2153,0.012,14656,50.92
flat_full_invperm,30,5,9971,1295,0.121,0.1162,0.2034,0.0123,14656,50.92
flat_full_invperm,40,1,15250,2125,0.1256,0.1162,0.2281,0.0144,14656,51.05
flat_full_invperm,40,2,15250,2125,0.1256,0.1174,0.2306,0.0149,14656,51.05
flat_full_invperm,40,3,15250,2125,0.1256,0.1251,0.2285,0.0143,14656,51.05
flat_full_invperm,40,4,15250,2125,0.1256,0.1177,0.2411,0.0143,14656,51.05
flat_full_invperm,40,5,15250,2125,0.1256,0.1177,0.2276,0.0144,14656,51.05
flat_full_invperm,50,1,21981,3155,0.1291,0.1185,0.3351,0.0177,14656,52.51
flat_full_invperm,50,2,21981,3155,0.1291,0.1207,0.3375,0.0178,14656,52.4
flat_full_invperm,50,3,21981,3155,0.1291,0.1201,0.338,0.0177,14656,52.36
flat_full_invperm,50,4,21981,3155,0.1291,0.1211,0.3456,0.0177,14656,52.36
flat_full_invperm,50,5,21981,3155,0.1291,0.1196,0.3425,0.0183,14656,52.36
