variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_presence,5,1,3144,100,0.1475,0.1209,0.1059,0.0092,14656,50.82
flat_full_presence,5,2,3144,100,0.1475,0.124,0.1104,0.0091,14656,50.82
flat_full_presence,5,3,3144,100,0.1475,0.1206,0.1057,0.0092,14656,50.82
flat_full_presence,5,4,3144,100,0.1475,0.124,0.1083,0.0091,14656,50.82
flat_full_presence,5,5,3144,100,0.1475,0.1265,0.108,0.0091,14656,50.82
flat_full_presence,10,1,3812,240,0.1332,0.1277,0.1161,0.0094,14656,50.82
flat_full_presence,10,2,3812,240,0.1332,0.1526,0.1545,0.01,14656,50.82
flat_full_presence,10,3,3812,240,0.1332,0.1237,0.1199,0.0092,14656,50.82
flat_full_presence,10,4,3812,240,0.1332,0.1205,0.1103,0.0091,14656,50.82
flat_full_presence,10,5,3812,240,0.1332,0.1217,0.1083,0.0098,14656,50.82
flat_full_presence,15,1,4844,430,0.1289,0.1224,0.1398,0.0095,14656,50.82
flat_full_presence,15,2,4844,430,0.1289,0.121,0.1395,0.0095,14656,50.82
flat_full_presence,15,3,4844,430,0.1289,0.1233,0.1378,0.0099,14656,50.82
flat_full_presence,15,4,4844,430,0.1289,0.1234,0.1359,0.0099,14656,50.82
flat_full_presence,15,5,4844,430,0.1289,0.1208,0.1394,0.0096,14656,50.82
flat_full_presence,20,1,6238,670,0.1257,0.1335,0.1436,0.0103,14656,50.82
flat_full_presence,20,2,6238,670,0.1257,0.1246,0.1433,0.0104,14656,50.82
flat_full_presence,20,3,6238,670,0.1257,0.1245,0.1448,0.0103,14656,50.82
flat_full_presence,20,4,6238,670,0.1257,0.1213,0.1466,0.0103,14656,50.82
flat_full_presence,20,5,6238,670,0.1257,0.1246,0.1481,0.0101,14656,50.82
flat_full_presence,25,1,7994,960,0.1295,0.1242,0.1549,0.011,14656,50.82
flat_full_presence,25,2,7994,960,0.1295,0.1219,0.1536,0.0112,14656,50.82
flat_full_presence,25,3,7994,960,0.1295,0.1232,0.1534,0.0117,14656,50.82
flat_full_presence,25,4,7994,960,0.1295,0.1384,0.1523,0.0111,14656,50.82
flat_full_presence,25,5,7994,960,0.1295,0.1236,0.1522,0.0114,14656,50.82
flat_full_presence,30,1,10112,1300,0.1299,0.1256,0.2173,0.0121,14656,50.82
flat_full_presence,30,2,10112,1300,0.1299,0.1258,0.2096,0.0122,14656,50.82
flat_full_presence,30,3,10112,1300,0.1299,0.1317,0.2188,0.0122,14656,50.82
flat_full_presence,30,4,10112,1300,0.1299,0.1259,0.2092,0.0126,14656,50.82
flat_full_presence,30,5,10112,1300,0.1299,0.1259,0.2191,0.0122,14656,50.82
flat_full_presence,40,1,15438,2130,0.1374,0.1293,0.2455,0.0145,14656,50.94
flat_full_presence,40,2,15438,2130,0.1374,0.1329,0.2337,0.0147,14656,50.94
flat_full_presence,40,3,15438,2130,0.1374,0.1291,0.2355,0.0152,14656,50.94
flat_full_presence,40,4,15438,2130,0.1374,0.128,0.2323,0.015,14656,50.94
flat_full_presence,40,5,15438,2130,0.1374,0.1296,0.2373,0.0148,14656,50.94
flat_full_presence,50,1,22212,3160,0.1405,0.1307,0.3463,0.018,14656,52.4
flat_full_presence,50,2,22212,3160,0.1405,0.1335,0.3471,0.0178,14656,52.57
flat_full_presence,50,3,22212,3160,0.1405,0.1369,0.3489,0.018,14656,52.39
flat_full_presence,50,4,22212,3160,0.1405,0.1332,0.3568,0.0181,14656,52.28
flat_full_presence,50,5,22212,3160,0.1405,0.1335,0.3457,0.0182,14656,52.47
