variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_cfs_iso_k2,48,1,63613,6716,0.4866,0.202,0.4669,0.0783,43968,59.32
hier_cfs_iso_k2_seg_node,48,1,28826,3165,0.3042,0.202,0.4669,0.0088,14656,59.32
hier_cfs_iso_k2_seg_total,48,1,57652,6330,0.3042,0.202,0.4669,0.0176,29312,59.32
hier_cfs_iso_k2_glue,48,1,5961,386,0.1824,0.1722,0.1613,0.0607,14656,29.38
hier_cfs_iso_k2,48,2,63613,6716,0.4866,0.1839,0.4323,0.079,43968,59.2
hier_cfs_iso_k2_seg_node,48,2,28826,3165,0.3042,0.1839,0.4323,0.0088,14656,59.2
hier_cfs_iso_k2_seg_total,48,2,57652,6330,0.3042,0.1839,0.4323,0.0175,29312,59.2
hier_cfs_iso_k2_glue,48,2,5961,386,0.1824,0.1718,0.16,0.0615,14656,29.52
hier_cfs_iso_k2,48,3,63613,6716,0.4866,0.1854,0.4373,0.0819,43968,59.27
hier_cfs_iso_k2_seg_node,48,3,28826,3165,0.3042,0.1854,0.4373,0.009,14656,59.27
hier_cfs_iso_k2_seg_total,48,3,57652,6330,0.3042,0.1854,0.4373,0.0175,29312,59.27
hier_cfs_iso_k2_glue,48,3,5961,386,0.1824,0.1767,0.159,0.0644,14656,29.43
hier_cfs_iso_k4,48,1,71042,6756,0.4146,0.1807,0.2684,0.1324,73280,41.64
hier_cfs_iso_k4_seg_node,48,1,15530,1521,0.2154,0.1791,0.2684,0.0123,14656,41.64
hier_cfs_iso_k4_seg_total,48,1,62120,6084,0.2154,0.1791,0.2684,0.039,58624,41.64
hier_cfs_iso_k4_glue,48,1,8922,672,0.1992,0.1807,0.229,0.0934,14656,35.4
hier_cfs_iso_k4,48,2,71042,6756,0.4146,0.187,0.2847,0.1217,73280,41.59
hier_cfs_iso_k4_seg_node,48,2,15530,1521,0.2154,0.187,0.2847,0.0087,14656,41.59
hier_cfs_iso_k4_seg_total,48,2,62120,6084,0.2154,0.187,0.2847,0.0342,58624,41.59
hier_cfs_iso_k4_glue,48,2,8922,672,0.1992,0.1771,0.2311,0.0875,14656,35.65
hier_cfs_iso_k4,48,3,71042,6756,0.4146,0.1924,0.2837,0.1307,73280,41.38
hier_cfs_iso_k4_seg_node,48,3,15530,1521,0.2154,0.1924,0.2837,0.0121,14656,41.38
hier_cfs_iso_k4_seg_total,48,3,62120,6084,0.2154,0.1924,0.2837,0.0383,58624,41.38
hier_cfs_iso_k4_glue,48,3,8922,672,0.1992,0.1804,0.2338,0.0924,14656,35.47
hier_cfs_iso_k8,48,1,85900,6836,0.4067,0.1862,0.2828,0.2011,131904,40.23
hier_cfs_iso_k8_seg_node,48,1,8882,699,0.1969,0.1817,0.2443,0.0134,14656,36.21
hier_cfs_iso_k8_seg_total,48,1,71056,5592,0.1969,0.1817,0.2443,0.0852,117248,36.21
hier_cfs_iso_k8_glue,48,1,14844,1244,0.2098,0.1862,0.2828,0.1159,14656,40.23
hier_cfs_iso_k8,48,2,85900,6836,0.4067,0.1864,0.2797,0.1877,131904,40.21
hier_cfs_iso_k8_seg_node,48,2,8882,699,0.1969,0.1864,0.2465,0.0119,14656,36.11
hier_cfs_iso_k8_seg_total,48,2,71056,5592,0.1969,0.1864,0.2465,0.0756,117248,36.11
hier_cfs_iso_k8_glue,48,2,14844,1244,0.2098,0.1833,0.2797,0.1121,14656,40.21
hier_cfs_iso_k8,48,3,85900,6836,0.4067,0.1887,0.2897,0.2004,131904,40.45
hier_cfs_iso_k8_seg_node,48,3,8882,699,0.1969,0.184,0.2444,0.0182,14656,36.06
hier_cfs_iso_k8_seg_total,48,3,71056,5592,0.1969,0.184,0.2444,0.0909,117248,36.06
hier_cfs_iso_k8_glue,48,3,14844,1244,0.2098,0.1887,0.2897,0.1095,14656,40.45
hier_cfs_iso_k2,96,1,133358,15500,0.5959,0.2254,0.8765,0.0825,43968,102.87
hier_cfs_iso_k2_seg_node,96,1,63479,7487,0.3999,0.2254,0.8765,0.009,14656,102.87
hier_cfs_iso_k2_seg_total,96,1,126958,14974,0.3999,0.2254,0.8765,0.0175,29312,102.87
hier_cfs_iso_k2_glue,96,1,6400,526,0.196,0.1846,0.1733,0.065,14656,29.78
hier_cfs_iso_k2,96,2,133358,15500,0.5959,0.2298,0.8639,0.0801,43968,102.99
hier_cfs_iso_k2_seg_node,96,2,63479,7487,0.3999,0.2298,0.8639,0.0092,14656,102.99
hier_cfs_iso_k2_seg_total,96,2,126958,14974,0.3999,0.2298,0.8639,0.0177,29312,102.99
hier_cfs_iso_k2_glue,96,2,6400,526,0.196,0.183,0.1758,0.0624,14656,29.73
hier_cfs_iso_k2,96,3,133358,15500,0.5959,0.2275,0.9079,0.0907,43968,102.96
hier_cfs_iso_k2_seg_node,96,3,63479,7487,0.3999,0.2275,0.9079,0.0149,14656,102.96
hier_cfs_iso_k2_seg_total,96,3,126958,14974,0.3999,0.2275,0.9079,0.0236,29312,102.96
hier_cfs_iso_k2_glue,96,3,6400,526,0.196,0.1887,0.1798,0.0671,14656,29.53
hier_cfs_iso_k4,96,1,140788,15540,0.5054,0.2137,0.6837,0.1677,73280,76.43
hier_cfs_iso_k4_seg_node,96,1,32771,3671,0.3003,0.2023,0.6837,0.0178,14656,76.43
hier_cfs_iso_k4_seg_total,96,1,131084,14684,0.3003,0.2023,0.6837,0.0595,58624,76.43
hier_cfs_iso_k4_glue,96,1,9704,856,0.2051,0.2137,0.3034,0.1082,14656,36.55
hier_cfs_iso_k4,96,2,140788,15540,0.5054,0.2665,0.8895,0.1701,73280,76.66
hier_cfs_iso_k4_seg_node,96,2,32771,3671,0.3003,0.2665,0.8895,0.0203,14656,76.66
hier_cfs_iso_k4_seg_total,96,2,131084,14684,0.3003,0.2665,0.8895,0.0615,58624,76.66
hier_cfs_iso_k4_glue,96,2,9704,856,0.2051,0.2392,0.2999,0.1086,14656,36.62
hier_cfs_iso_k4,96,3,140788,15540,0.5054,0.2602,0.8697,0.1648,73280,76.21
hier_cfs_iso_k4_seg_node,96,3,32771,3671,0.3003,0.2602,0.8697,0.0164,14656,76.21
hier_cfs_iso_k4_seg_total,96,3,131084,14684,0.3003,0.2602,0.8697,0.0577,58624,76.21
hier_cfs_iso_k4_glue,96,3,9704,856,0.2051,0.2421,0.3047,0.1071,14656,36.57
