variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_c_iso_k2,48,1,66220,7075,0.4002,0.2265,0.503,0.0971,43968,59.14
hier_c_iso_k2_seg_node,48,1,28413,3113,0.1716,0.2265,0.503,0.0169,14656,59.14
hier_c_iso_k2_seg_total,48,1,56826,6226,0.1716,0.2265,0.503,0.0263,29312,59.14
hier_c_iso_k2_glue,48,1,9394,849,0.2286,0.1815,0.2861,0.0708,14656,37.2
hier_c_iso_k2,48,2,66220,7075,0.4002,0.2142,0.524,0.0905,43968,59.25
hier_c_iso_k2_seg_node,48,2,28413,3113,0.1716,0.2142,0.524,0.0089,14656,59.25
hier_c_iso_k2_seg_total,48,2,56826,6226,0.1716,0.2142,0.524,0.0177,29312,59.25
hier_c_iso_k2_glue,48,2,9394,849,0.2286,0.1959,0.2366,0.0728,14656,37.09
hier_c_iso_k2,48,3,66220,7075,0.4002,0.2006,0.4582,0.0845,43968,59.13
hier_c_iso_k2_seg_node,48,3,28413,3113,0.1716,0.2006,0.4582,0.0089,14656,59.13
hier_c_iso_k2_seg_total,48,3,56826,6226,0.1716,0.2006,0.4582,0.0175,29312,59.13
hier_c_iso_k2_glue,48,3,9394,849,0.2286,0.1842,0.2327,0.067,14656,37.41
hier_c_iso_k4,48,1,72178,7089,0.438,0.1872,0.2759,0.1233,73280,41.27
hier_c_iso_k4_seg_node,48,1,15141,1493,0.2226,0.1824,0.2759,0.0114,14656,41.27
hier_c_iso_k4_seg_total,48,1,60564,5972,0.2226,0.1824,0.2759,0.0394,58624,41.27
hier_c_iso_k4_glue,48,1,11614,1117,0.2154,0.1872,0.2574,0.0839,14656,38.52
hier_c_iso_k4,48,2,72178,7089,0.438,0.1909,0.286,0.1233,73280,41.33
hier_c_iso_k4_seg_node,48,2,15141,1493,0.2226,0.1909,0.286,0.0094,14656,41.33
hier_c_iso_k4_seg_total,48,2,60564,5972,0.2226,0.1909,0.286,0.0355,58624,41.33
hier_c_iso_k4_glue,48,2,11614,1117,0.2154,0.184,0.2554,0.0878,14656,38.82
hier_c_iso_k4,48,3,72178,7089,0.438,0.1903,0.2928,0.1341,73280,41.48
hier_c_iso_k4_seg_node,48,3,15141,1493,0.2226,0.1876,0.2928,0.0098,14656,41.48
hier_c_iso_k4_seg_total,48,3,60564,5972,0.2226,0.1876,0.2928,0.0357,58624,41.48
hier_c_iso_k4_glue,48,3,11614,1117,0.2154,0.1903,0.2635,0.0984,14656,38.39
hier_c_iso_k8,48,1,84094,7117,0.4381,0.193,0.298,0.2079,131904,42.41
hier_c_iso_k8_seg_node,48,1,8505,683,0.2083,0.1816,0.2384,0.0155,14656,35.28
hier_c_iso_k8_seg_total,48,1,68040,5464,0.2083,0.1816,0.2384,0.0933,117248,35.28
hier_c_iso_k8_glue,48,1,16054,1653,0.2298,0.193,0.298,0.1146,14656,42.41
hier_c_iso_k8,48,2,84094,7117,0.4381,0.1956,0.2913,0.1925,131904,42.38
hier_c_iso_k8_seg_node,48,2,8505,683,0.2083,0.1956,0.2686,0.0136,14656,35.15
hier_c_iso_k8_seg_total,48,2,68040,5464,0.2083,0.1956,0.2686,0.0789,117248,35.15
hier_c_iso_k8_glue,48,2,16054,1653,0.2298,0.1911,0.2913,0.1136,14656,42.38
hier_c_iso_k8,48,3,84094,7117,0.4381,0.195,0.3002,0.2113,131904,42.4
hier_c_iso_k8_seg_node,48,3,8505,683,0.2083,0.1921,0.2462,0.0165,14656,35.34
hier_c_iso_k8_seg_total,48,3,68040,5464,0.2083,0.1921,0.2462,0.0957,117248,35.34
hier_c_iso_k8_glue,48,3,16054,1653,0.2298,0.195,0.3002,0.1156,14656,42.4
hier_c_iso_k2,96,1,140117,16243,0.6494,0.2189,0.8623,0.0961,43968,104.49
hier_c_iso_k2_seg_node,96,1,63018,7387,0.4107,0.2189,0.8623,0.0092,14656,104.49
hier_c_iso_k2_seg_total,96,1,126036,14774,0.4107,0.2189,0.8623,0.0178,29312,104.49
hier_c_iso_k2_glue,96,1,14081,1469,0.2387,0.2071,0.2816,0.0783,14656,40.89
hier_c_iso_k2,96,2,140117,16243,0.6494,0.2423,0.8978,0.0964,43968,104.36
hier_c_iso_k2_seg_node,96,2,63018,7387,0.4107,0.2423,0.8978,0.0092,14656,104.36
hier_c_iso_k2_seg_total,96,2,126036,14774,0.4107,0.2423,0.8978,0.0178,29312,104.36
hier_c_iso_k2_glue,96,2,14081,1469,0.2387,0.2074,0.2779,0.0786,14656,41.04
hier_c_iso_k2,96,3,140117,16243,0.6494,0.2272,0.8901,0.1012,43968,104.6
hier_c_iso_k2_seg_node,96,3,63018,7387,0.4107,0.2272,0.8901,0.01,14656,104.6
hier_c_iso_k2_seg_total,96,3,126036,14774,0.4107,0.2272,0.8901,0.0197,29312,104.6
hier_c_iso_k2_glue,96,3,14081,1469,0.2387,0.2122,0.2817,0.0815,14656,40.93
hier_c_iso_k4,96,1,146076,16257,0.5973,0.2645,0.6616,0.1744,73280,63.13
hier_c_iso_k4_seg_node,96,1,32358,3619,0.3094,0.256,0.6616,0.017,14656,63.13
hier_c_iso_k4_seg_total,96,1,129432,14476,0.3094,0.256,0.6616,0.0578,58624,63.13
hier_c_iso_k4_glue,96,1,16644,1781,0.2879,0.2645,0.4784,0.1166,14656,48.96
hier_c_iso_k4,96,2,146076,16257,0.5973,0.2668,0.6704,0.1658,73280,63.1
hier_c_iso_k4_seg_node,96,2,32358,3619,0.3094,0.2666,0.6704,0.0137,14656,63.1
hier_c_iso_k4_seg_total,96,2,129432,14476,0.3094,0.2666,0.6704,0.053,58624,63.1
hier_c_iso_k4_glue,96,2,16644,1781,0.2879,0.2668,0.4797,0.1128,14656,48.97
hier_c_iso_k4,96,3,146076,16257,0.5973,0.2629,0.6437,0.1703,73280,63.07
hier_c_iso_k4_seg_node,96,3,32358,3619,0.3094,0.2629,0.6437,0.0143,14656,63.07
hier_c_iso_k4_seg_total,96,3,129432,14476,0.3094,0.2629,0.6437,0.0538,58624,63.07
hier_c_iso_k4_glue,96,3,16644,1781,0.2879,0.2604,0.5425,0.1165,14656,48.9
hier_c_iso_k8,96,1,157994,16285,0.5906,0.2623,0.5318,0.2688,131904,56.11
hier_c_iso_k8_seg_node,96,1,17028,1735,0.2786,0.2357,0.4879,0.0211,14656,49.84
hier_c_iso_k8_seg_total,96,1,136224,13880,0.2786,0.2357,0.4879,0.1268,117248,49.84
hier_c_iso_k8_glue,96,1,21770,2405,0.312,0.2623,0.5318,0.142,14656,56.11
hier_c_iso_k8,96,2,157994,16285,0.5906,0.2632,0.532,0.2525,131904,56.57
hier_c_iso_k8_seg_node,96,2,17028,1735,0.2786,0.2466,0.532,0.0174,14656,49.72
hier_c_iso_k8_seg_total,96,2,136224,13880,0.2786,0.2466,0.532,0.1117,117248,49.72
hier_c_iso_k8_glue,96,2,21770,2405,0.312,0.2632,0.5167,0.1408,14656,56.57
hier_c_iso_k8,96,3,157994,16285,0.5906,0.2717,0.5249,0.2555,131904,56.37
hier_c_iso_k8_seg_node,96,3,17028,1735,0.2786,0.2455,0.5249,0.0212,14656,49.97
hier_c_iso_k8_seg_total,96,3,136224,13880,0.2786,0.2455,0.5249,0.1174,117248,49.97
hier_c_iso_k8_glue,96,3,21770,2405,0.312,0.2717,0.5148,0.1381,14656,56.37
hier_c_iso_k2,128,1,183893,21651,0.8484,0.2929,1.7503,0.1245,43968,145.48
hier_c_iso_k2_seg_node,128,1,83458,9899,0.5502,0.2929,1.7503,0.0136,14656,145.48
hier_c_iso_k2_seg_total,128,1,166916,19798,0.5502,0.2929,1.7503,0.027,29312,145.48
hier_c_iso_k2_glue,128,1,16977,1853,0.2982,0.2748,0.4747,0.0975,14656,50.61
hier_c_iso_k2,128,2,183893,21651,0.8484,0.3009,1.8094,0.1246,43968,146.15
hier_c_iso_k2_seg_node,128,2,83458,9899,0.5502,0.3009,1.8094,0.0137,14656,146.15
hier_c_iso_k2_seg_total,128,2,166916,19798,0.5502,0.3009,1.8094,0.0267,29312,146.15
hier_c_iso_k2_glue,128,2,16977,1853,0.2982,0.2768,0.4725,0.0979,14656,50.59
