variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_fs_iso_k2,48,1,62054,6708,0.4799,0.1983,0.4621,0.0778,43968,59.6
hier_fs_iso_k2_seg_node,48,1,28480,3168,0.299,0.1983,0.4621,0.0092,14656,59.6
hier_fs_iso_k2_seg_total,48,1,56960,6336,0.299,0.1983,0.4621,0.0178,29312,59.6
hier_fs_iso_k2_glue,48,1,5094,372,0.1809,0.1783,0.1551,0.06,14656,28.69
hier_fs_iso_k2,48,2,62054,6708,0.4799,0.201,0.452,0.0775,43968,59.86
hier_fs_iso_k2_seg_node,48,2,28480,3168,0.299,0.201,0.452,0.0089,14656,59.86
hier_fs_iso_k2_seg_total,48,2,56960,6336,0.299,0.201,0.452,0.0177,29312,59.86
hier_fs_iso_k2_glue,48,2,5094,372,0.1809,0.1802,0.1558,0.0598,14656,28.91
hier_fs_iso_k2,48,3,62054,6708,0.4799,0.2008,0.4691,0.0829,43968,59.95
hier_fs_iso_k2_seg_node,48,3,28480,3168,0.299,0.2008,0.4691,0.0092,14656,59.95
hier_fs_iso_k2_seg_total,48,3,56960,6336,0.299,0.2008,0.4691,0.0179,29312,59.95
hier_fs_iso_k2_glue,48,3,5094,372,0.1809,0.1809,0.1591,0.065,14656,28.71
hier_fs_iso_k4,48,1,67923,6740,0.4234,0.1839,0.2773,0.1175,73280,41.33
hier_fs_iso_k4_seg_node,48,1,15184,1524,0.2316,0.1839,0.2773,0.0089,14656,41.33
hier_fs_iso_k4_seg_total,48,1,60736,6096,0.2316,0.1839,0.2773,0.0346,58624,41.33
hier_fs_iso_k4_glue,48,1,7187,644,0.1918,0.179,0.1725,0.0829,14656,31.42
hier_fs_iso_k4,48,2,67923,6740,0.4234,0.1906,0.292,0.1167,73280,41.38
hier_fs_iso_k4_seg_node,48,2,15184,1524,0.2316,0.1906,0.292,0.0106,14656,41.38
hier_fs_iso_k4_seg_total,48,2,60736,6096,0.2316,0.1906,0.292,0.0378,58624,41.38
hier_fs_iso_k4_glue,48,2,7187,644,0.1918,0.1852,0.1744,0.0789,14656,31.24
hier_fs_iso_k4,48,3,67923,6740,0.4234,0.1912,0.2908,0.1302,73280,41.35
hier_fs_iso_k4_seg_node,48,3,15184,1524,0.2316,0.1912,0.2908,0.0139,14656,41.35
hier_fs_iso_k4_seg_total,48,3,60736,6096,0.2316,0.1912,0.2908,0.0455,58624,41.35
hier_fs_iso_k4_glue,48,3,7187,644,0.1918,0.1852,0.1797,0.0847,14656,31.16
hier_fs_iso_k8,48,1,79661,6804,0.4307,0.1909,0.2566,0.1984,131904,37.98
hier_fs_iso_k8_seg_node,48,1,8536,702,0.2213,0.1821,0.2357,0.0129,14656,35.52
hier_fs_iso_k8_seg_total,48,1,68288,5616,0.2213,0.1821,0.2357,0.0869,117248,35.52
hier_fs_iso_k8_glue,48,1,11373,1188,0.2094,0.1909,0.2566,0.1115,14656,37.98
hier_fs_iso_k8,48,2,79661,6804,0.4307,0.1925,0.2607,0.1987,131904,38.0
hier_fs_iso_k8_seg_node,48,2,8536,702,0.2213,0.1925,0.2462,0.0145,14656,35.64
hier_fs_iso_k8_seg_total,48,2,68288,5616,0.2213,0.1925,0.2462,0.0853,117248,35.64
hier_fs_iso_k8_glue,48,2,11373,1188,0.2094,0.1836,0.2607,0.1134,14656,38.0
hier_fs_iso_k8,48,3,79661,6804,0.4307,0.1919,0.2633,0.1999,131904,37.82
hier_fs_iso_k8_seg_node,48,3,8536,702,0.2213,0.1919,0.2586,0.0166,14656,35.45
hier_fs_iso_k8_seg_total,48,3,68288,5616,0.2213,0.1919,0.2586,0.0857,117248,35.45
hier_fs_iso_k8_glue,48,3,11373,1188,0.2094,0.1902,0.2633,0.1142,14656,37.82
hier_fs_iso_k2,96,1,131797,15492,0.6409,0.2189,0.874,0.0837,43968,106.96
hier_fs_iso_k2_seg_node,96,1,63132,7490,0.445,0.2189,0.874,0.0095,14656,106.96
hier_fs_iso_k2_seg_total,96,1,126264,14980,0.445,0.2189,0.874,0.0183,29312,106.96
hier_fs_iso_k2_glue,96,1,5533,512,0.1959,0.1859,0.1665,0.0654,14656,29.34
hier_fs_iso_k2,96,2,131797,15492,0.6409,0.2338,0.8967,0.0829,43968,106.73
hier_fs_iso_k2_seg_node,96,2,63132,7490,0.445,0.2338,0.8967,0.0093,14656,106.73
hier_fs_iso_k2_seg_total,96,2,126264,14980,0.445,0.2338,0.8967,0.0183,29312,106.73
hier_fs_iso_k2_glue,96,2,5533,512,0.1959,0.1921,0.1689,0.0646,14656,29.5
hier_fs_iso_k2,96,3,131797,15492,0.6409,0.2853,1.1823,0.1112,43968,106.76
hier_fs_iso_k2_seg_node,96,3,63132,7490,0.445,0.2853,1.1823,0.0128,14656,106.76
hier_fs_iso_k2_seg_total,96,3,126264,14980,0.445,0.2853,1.1823,0.0253,29312,106.76
hier_fs_iso_k2_glue,96,3,5533,512,0.1959,0.2421,0.1976,0.0859,14656,29.7
hier_fs_iso_k4,96,1,137665,15524,0.6087,0.2551,0.6287,0.1654,73280,64.45
hier_fs_iso_k4_seg_node,96,1,32424,3674,0.3652,0.2551,0.6287,0.0156,14656,64.45
hier_fs_iso_k4_seg_total,96,1,129696,14696,0.3652,0.2551,0.6287,0.0549,58624,64.45
hier_fs_iso_k4_glue,96,1,7969,828,0.2435,0.2396,0.2304,0.1105,14656,31.96
hier_fs_iso_k4,96,2,137665,15524,0.6087,0.2619,0.6845,0.1575,73280,64.15
hier_fs_iso_k4_seg_node,96,2,32424,3674,0.3652,0.2619,0.6845,0.014,14656,64.15
hier_fs_iso_k4_seg_total,96,2,129696,14696,0.3652,0.2619,0.6845,0.052,58624,64.15
hier_fs_iso_k4_glue,96,2,7969,828,0.2435,0.2385,0.2193,0.1055,14656,31.89
hier_fs_iso_k4,96,3,137665,15524,0.6087,0.2648,0.676,0.1592,73280,64.14
