variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_a_iso_k2,48,1,59969,7563,0.5047,0.2017,0.4503,0.0798,43968,58.74
hier_a_iso_k2_seg_node,48,1,27084,3381,0.3038,0.2017,0.4503,0.0092,14656,58.74
hier_a_iso_k2_seg_total,48,1,54168,6762,0.3038,0.2017,0.4503,0.0181,29312,58.74
hier_a_iso_k2_glue,48,1,5801,801,0.2009,0.1882,0.1687,0.0617,14656,29.96
hier_a_iso_k2,48,2,59969,7563,0.5047,0.2058,0.448,0.0785,43968,58.8
hier_a_iso_k2_seg_node,48,2,27084,3381,0.3038,0.2058,0.448,0.0091,14656,58.8
hier_a_iso_k2_seg_total,48,2,54168,6762,0.3038,0.2058,0.448,0.0179,29312,58.8
hier_a_iso_k2_glue,48,2,5801,801,0.2009,0.1927,0.1597,0.0606,14656,30.37
hier_a_iso_k2,48,3,59969,7563,0.5047,0.201,0.459,0.0776,43968,58.59
hier_a_iso_k2_seg_node,48,3,27084,3381,0.3038,0.201,0.459,0.0091,14656,58.59
hier_a_iso_k2_seg_total,48,3,54168,6762,0.3038,0.201,0.459,0.0178,29312,58.59
hier_a_iso_k2_glue,48,3,5801,801,0.2009,0.19,0.1616,0.0598,14656,29.95
hier_a_iso_k4,48,1,65664,7585,0.4542,0.194,0.2786,0.1132,73280,40.88
hier_a_iso_k4_seg_node,48,1,14445,1629,0.2427,0.1871,0.2786,0.0093,14656,40.88
hier_a_iso_k4_seg_total,48,1,57780,6516,0.2427,0.1871,0.2786,0.0352,58624,40.88
hier_a_iso_k4_glue,48,1,7884,1069,0.2115,0.194,0.1804,0.078,14656,32.23
hier_a_iso_k4,48,2,65664,7585,0.4542,0.1928,0.2965,0.1183,73280,40.61
hier_a_iso_k4_seg_node,48,2,14445,1629,0.2427,0.1928,0.2965,0.0089,14656,40.61
hier_a_iso_k4_seg_total,48,2,57780,6516,0.2427,0.1928,0.2965,0.0345,58624,40.61
hier_a_iso_k4_glue,48,2,7884,1069,0.2115,0.1905,0.1888,0.0838,14656,32.61
hier_a_iso_k4,48,3,65664,7585,0.4542,0.1915,0.2906,0.1127,73280,40.75
hier_a_iso_k4_seg_node,48,3,14445,1629,0.2427,0.1915,0.2906,0.009,14656,40.75
hier_a_iso_k4_seg_total,48,3,57780,6516,0.2427,0.1915,0.2906,0.0346,58624,40.75
hier_a_iso_k4_glue,48,3,7884,1069,0.2115,0.1875,0.1793,0.0781,14656,32.28
hier_a_iso_k8,48,1,77058,7629,0.4595,0.1937,0.2619,0.2055,131904,40.36
hier_a_iso_k8_seg_node,48,1,8126,753,0.2281,0.1872,0.1828,0.0193,14656,32.29
hier_a_iso_k8_seg_total,48,1,65008,6024,0.2281,0.1872,0.1828,0.0873,117248,32.29
hier_a_iso_k8_glue,48,1,12050,1605,0.2314,0.1937,0.2619,0.1182,14656,40.36
hier_a_iso_k8,48,2,77058,7629,0.4595,0.1976,0.2606,0.2196,131904,39.99
hier_a_iso_k8_seg_node,48,2,8126,753,0.2281,0.1976,0.2,0.0198,14656,32.07
hier_a_iso_k8_seg_total,48,2,65008,6024,0.2281,0.1976,0.2,0.094,117248,32.07
hier_a_iso_k8_glue,48,2,12050,1605,0.2314,0.1904,0.2606,0.1256,14656,39.99
hier_a_iso_k8,48,3,77058,7629,0.4595,0.1938,0.269,0.1998,131904,40.24
hier_a_iso_k8_seg_node,48,3,8126,753,0.2281,0.1938,0.2059,0.0113,14656,32.32
hier_a_iso_k8_seg_total,48,3,65008,6024,0.2281,0.1938,0.2059,0.0766,117248,32.32
hier_a_iso_k8_glue,48,3,12050,1605,0.2314,0.1901,0.269,0.1232,14656,40.24
hier_a_iso_k2,96,1,127878,17211,0.7021,0.2378,0.859,0.0826,43968,102.96
hier_a_iso_k2_seg_node,96,1,60423,7919,0.4625,0.2378,0.859,0.0094,14656,102.96
hier_a_iso_k2_seg_total,96,1,120846,15838,0.4625,0.2378,0.859,0.0185,29312,102.96
hier_a_iso_k2_glue,96,1,7032,1373,0.2396,0.2023,0.1823,0.0641,14656,32.12
hier_a_iso_k2,96,2,127878,17211,0.7021,0.2477,0.8726,0.0817,43968,103.01
hier_a_iso_k2_seg_node,96,2,60423,7919,0.4625,0.2477,0.8726,0.0096,14656,103.01
hier_a_iso_k2_seg_total,96,2,120846,15838,0.4625,0.2477,0.8726,0.0184,29312,103.01
hier_a_iso_k2_glue,96,2,7032,1373,0.2396,0.2068,0.1779,0.0633,14656,32.05
hier_a_iso_k2,96,3,127878,17211,0.7021,0.2757,1.1627,0.1083,43968,102.8
