variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_gp_k2,1504,1,4436156,374544,8.8786,1.9128,43.0245,0.0156,14656,2116.14
recursion_gp_k2_seg_node,1504,1,1479086,185514,8.5807,1.7146,21.9442,,,2116.14
recursion_gp_k2_seg_total,1504,1,2958172,371028,8.5807,1.7146,21.9442,,,2116.14
recursion_gp_k2_outer,1504,1,1477984,3516,0.2979,0.1982,21.0803,0.0156,14656,2100.09
recursion_gp_k2,1504,2,4436156,374544,8.815,1.9259,43.2107,0.0154,14656,2116.09
recursion_gp_k2_seg_node,1504,2,1479086,185514,8.5807,1.7317,22.262,,,2116.09
recursion_gp_k2_seg_total,1504,2,2958172,371028,8.5807,1.7317,22.262,,,2116.09
recursion_gp_k2_outer,1504,2,1477984,3516,0.2343,0.1942,20.9487,0.0154,14656,2085.14
recursion_gp_k4,1504,1,5975481,374590,4.3862,1.1603,52.8686,0.0138,14656,4160.12
recursion_gp_k4_seg_node,1504,1,740058,92642,4.0573,0.9535,11.8381,,,1082.01
recursion_gp_k4_seg_total,1504,1,2960232,370568,4.0573,0.9535,11.8381,,,1082.01
recursion_gp_k4_outer,1504,1,3015249,4022,0.3289,0.2068,41.0305,0.0138,14656,4160.12
recursion_gp_k4,1504,2,5975481,374590,4.3065,1.1761,52.9713,0.0139,14656,4209.37
recursion_gp_k4_seg_node,1504,2,740058,92642,4.0573,0.9718,12.0399,,,1082.19
recursion_gp_k4_seg_total,1504,2,2960232,370568,4.0573,0.9718,12.0399,,,1082.19
recursion_gp_k4_outer,1504,2,3015249,4022,0.2492,0.2043,40.9314,0.0139,14656,4209.37
recursion_gp_k8,1504,1,9054132,374682,2.3856,0.8364,83.9529,0.0124,14656,8155.68
recursion_gp_k8_seg_node,1504,1,370544,46206,2.0142,0.6116,6.5148,,,569.28
recursion_gp_k8_seg_total,1504,1,2964352,369648,2.0142,0.6116,6.5148,,,569.28
recursion_gp_k8_outer,1504,1,6089780,5034,0.3714,0.2248,77.4381,0.0124,14656,8155.68
recursion_gp_k8,1504,2,9054132,374682,2.2743,0.8241,83.8397,0.0122,14656,8165.53
recursion_gp_k8_seg_node,1504,2,370544,46206,2.0142,0.6025,6.4017,,,569.27
recursion_gp_k8_seg_total,1504,2,2964352,369648,2.0142,0.6025,6.4017,,,569.27
recursion_gp_k8_outer,1504,2,6089780,5034,0.2601,0.2216,77.438,0.0122,14656,8165.53
recursion_gp_k2,2000,1,5412036,498048,12.0086,2.4939,47.3078,0.0155,14656,2578.77
recursion_gp_k2_seg_node,2000,1,1966530,246770,11.7014,2.2957,26.3754,,,2578.77
recursion_gp_k2_seg_total,2000,1,3933060,493540,11.7014,2.2957,26.3754,,,2578.77
recursion_gp_k2_outer,2000,1,1478976,4508,0.3072,0.1982,20.9324,0.0155,14656,2100.53
recursion_gp_k2,2000,2,5412036,498048,11.9421,2.4547,46.626,0.0155,14656,2578.61
recursion_gp_k2_seg_node,2000,2,1966530,246770,11.7014,2.2572,26.0268,,,2578.61
recursion_gp_k2_seg_total,2000,2,3933060,493540,11.7014,2.2572,26.0268,,,2578.61
recursion_gp_k2_outer,2000,2,1478976,4508,0.2407,0.1975,20.5992,0.0155,14656,2100.96
recursion_gp_k4,2000,1,6951361,498094,5.8233,1.4715,54.8619,0.0132,14656,4142.36
recursion_gp_k4_seg_node,2000,1,983780,123270,5.4863,1.2602,13.9208,,,1334.43
