variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_gp_k2,48,1,1530317,6720,0.4748,0.3654,19.5126,0.0125,14656,2037.18
recursion_gp_k2_seg_node,48,1,28480,3168,0.2755,0.1955,0.4276,,,61.76
recursion_gp_k2_seg_total,48,1,56960,6336,0.2755,0.1955,0.4276,,,61.76
recursion_gp_k2_outer,48,1,1473357,384,0.1993,0.1699,19.085,0.0125,14656,2037.18
recursion_gp_k2,48,2,1530317,6720,0.4662,0.3847,20.8987,0.016,14656,2049.86
recursion_gp_k2_seg_node,48,2,28480,3168,0.2755,0.211,0.5025,,,61.75
recursion_gp_k2_seg_total,48,2,56960,6336,0.2755,0.211,0.5025,,,61.75
recursion_gp_k2_outer,48,2,1473357,384,0.1907,0.1737,20.3962,0.016,14656,2049.86
recursion_gp_k4,48,1,3069643,6766,0.4348,0.3689,38.1165,0.014,14656,4126.2
recursion_gp_k4_seg_node,48,1,15184,1524,0.2324,0.1875,0.3261,,,44.63
recursion_gp_k4_seg_total,48,1,60736,6096,0.2324,0.1875,0.3261,,,44.63
recursion_gp_k4_outer,48,1,3008907,670,0.2024,0.1814,37.7904,0.014,14656,4126.2
recursion_gp_k4,48,2,3069643,6766,0.4748,0.4374,41.353,0.0134,14656,4146.68
recursion_gp_k4_seg_node,48,2,15184,1524,0.2324,0.2479,0.3745,,,45.25
recursion_gp_k4_seg_total,48,2,60736,6096,0.2324,0.2479,0.3745,,,45.25
recursion_gp_k4_outer,48,2,3008907,670,0.2424,0.1895,40.9785,0.0134,14656,4146.68
recursion_gp_k8,48,1,6148296,6858,0.639,0.3877,76.7462,0.0121,14656,8248.34
recursion_gp_k8_seg_node,48,1,8536,702,0.3979,0.1998,0.3037,,,44.59
recursion_gp_k8_seg_total,48,1,68288,5616,0.3979,0.1998,0.3037,,,44.59
recursion_gp_k8_outer,48,1,6080008,1242,0.2411,0.1879,76.4425,0.0121,14656,8248.34
recursion_gp_k8,48,2,6148296,6858,0.6608,0.4498,77.9972,0.0121,14656,8169.92
recursion_gp_k8_seg_node,48,2,8536,702,0.3979,0.2479,0.3152,,,45.89
recursion_gp_k8_seg_total,48,2,68288,5616,0.3979,0.2479,0.3152,,,45.89
recursion_gp_k8_outer,48,2,6080008,1242,0.2629,0.2019,77.682,0.0121,14656,8169.92
recursion_gp_k2,96,1,1600060,15504,0.7624,0.4048,19.9615,0.0785,14656,2097.13
recursion_gp_k2_seg_node,96,1,63132,7490,0.558,0.231,0.8659,,,105.89
recursion_gp_k2_seg_total,96,1,126264,14980,0.558,0.231,0.8659,,,105.89
recursion_gp_k2_outer,96,1,1473796,524,0.2044,0.1738,19.0956,0.0785,14656,2097.13
recursion_gp_k2,96,2,1600060,15504,0.7543,0.4095,21.5366,0.0144,14656,2097.19
recursion_gp_k2_seg_node,96,2,63132,7490,0.558,0.2333,0.8543,,,106.09
recursion_gp_k2_seg_total,96,2,126264,14980,0.558,0.2333,0.8543,,,106.09
recursion_gp_k2_outer,96,2,1473796,524,0.1963,0.1762,20.6823,0.0144,14656,2097.19
recursion_gp_k4,96,1,3139385,15550,0.5185,0.3769,34.9124,0.0141,14656,4134.29
recursion_gp_k4_seg_node,96,1,32424,3674,0.3126,0.2009,0.4616,,,63.17
recursion_gp_k4_seg_total,96,1,129696,14696,0.3126,0.2009,0.4616,,,63.17
recursion_gp_k4_outer,96,1,3009689,854,0.2059,0.176,34.4508,0.0141,14656,4134.29
recursion_gp_k4,96,2,3139385,15550,0.5707,0.4895,40.1833,0.0138,14656,4153.42
recursion_gp_k4_seg_node,96,2,32424,3674,0.3126,0.3012,0.676,,,63.5
recursion_gp_k4_seg_total,96,2,129696,14696,0.3126,0.3012,0.676,,,63.5
recursion_gp_k4_outer,96,2,3009689,854,0.2581,0.1883,39.5073,0.0138,14656,4153.42
recursion_gp_k8,96,1,6218036,15642,0.4785,0.3812,76.4543,0.0124,14656,8110.23
recursion_gp_k8_seg_node,96,1,17070,1766,0.253,0.1935,0.4135,,,49.37
recursion_gp_k8_seg_total,96,1,136560,14128,0.253,0.1935,0.4135,,,49.37
recursion_gp_k8_outer,96,1,6081476,1514,0.2255,0.1877,76.0408,0.0124,14656,8110.23
recursion_gp_k8,96,2,6218036,15642,0.506,0.433,77.6301,0.0131,14656,8076.65
recursion_gp_k8_seg_node,96,2,17070,1766,0.253,0.2436,0.5161,,,49.4
recursion_gp_k8_seg_total,96,2,136560,14128,0.253,0.2436,0.5161,,,49.4
recursion_gp_k8_outer,96,2,6081476,1514,0.253,0.1894,77.114,0.0131,14656,8076.65
recursion_gp_k2,128,1,1641068,20656,0.6682,0.4034,17.033,0.0148,14656,2132.02
recursion_gp_k2_seg_node,128,1,83604,10034,0.4724,0.2318,1.3683,,,145.71
recursion_gp_k2_seg_total,128,1,167208,20068,0.4724,0.2318,1.3683,,,145.71
recursion_gp_k2_outer,128,1,1473860,588,0.1958,0.1716,15.6647,0.0148,14656,2132.02
recursion_gp_k2,128,2,1641068,20656,0.7389,0.4971,22.9237,0.0157,14656,2106.83
recursion_gp_k2_seg_node,128,2,83604,10034,0.4724,0.3053,1.7959,,,145.72
recursion_gp_k2_seg_total,128,2,167208,20068,0.4724,0.3053,1.7959,,,145.72
recursion_gp_k2_outer,128,2,1473860,588,0.2665,0.1918,21.1278,0.0157,14656,2106.83
recursion_gp_k4,128,1,3180393,20702,0.5506,0.3944,39.9999,0.0138,14656,4135.38
recursion_gp_k4_seg_node,128,1,42660,4946,0.3401,0.219,0.794,,,81.7
recursion_gp_k4_seg_total,128,1,170640,19784,0.3401,0.219,0.794,,,81.7
recursion_gp_k4_outer,128,1,3009753,918,0.2105,0.1754,39.2059,0.0138,14656,4135.38
recursion_gp_k4,128,2,3180393,20702,0.6102,0.5084,41.9046,0.0136,14656,4133.76
recursion_gp_k4_seg_node,128,2,42660,4946,0.3401,0.3167,1.0516,,,81.78
recursion_gp_k4_seg_total,128,2,170640,19784,0.3401,0.3167,1.0516,,,81.78
recursion_gp_k4_outer,128,2,3009753,918,0.2701,0.1917,40.853,0.0136,14656,4133.76
recursion_gp_k8,128,1,6259044,20794,0.5123,0.3796,76.813,0.0124,14656,8053.31
recursion_gp_k8_seg_node,128,1,22188,2402,0.2847,0.1899,0.4779,,,55.6
recursion_gp_k8_seg_total,128,1,177504,19216,0.2847,0.1899,0.4779,,,55.6
recursion_gp_k8_outer,128,1,6081540,1578,0.2276,0.1897,76.3351,0.0124,14656,8053.31
recursion_gp_k8,128,2,6259044,20794,0.5398,0.4687,78.0761,0.0124,14656,8136.86
recursion_gp_k8_seg_node,128,2,22188,2402,0.2847,0.2654,0.5852,,,55.4
recursion_gp_k8_seg_total,128,2,177504,19216,0.2847,0.2654,0.5852,,,55.4
recursion_gp_k8_outer,128,2,6081540,1578,0.2551,0.2033,77.4909,0.0124,14656,8136.86
recursion_gp_k2,256,1,1849005,46896,1.2001,0.5154,17.5356,0.0115,14656,2058.47
recursion_gp_k2_seg_node,256,1,187273,23004,0.9888,0.3399,2.3601,,,287.8
recursion_gp_k2_seg_total,256,1,374546,46008,0.9888,0.3399,2.3601,,,287.8
recursion_gp_k2_outer,256,1,1474459,888,0.2113,0.1755,15.1755,0.0115,14656,2058.47
recursion_gp_k2,256,2,1849005,46896,1.2346,0.5589,24.0848,0.0158,14656,2041.96
recursion_gp_k2_seg_node,256,2,187273,23004,0.9888,0.3692,2.9706,,,287.71
recursion_gp_k2_seg_total,256,2,374546,46008,0.9888,0.3692,2.9706,,,287.71
recursion_gp_k2_outer,256,2,1474459,888,0.2458,0.1897,21.1142,0.0158,14656,2041.96
recursion_gp_k4,256,1,3388331,46942,0.7697,0.4342,37.1575,0.0139,14656,4149.75
recursion_gp_k4_seg_node,256,1,94409,11420,0.5556,0.2557,1.374,,,163.14
recursion_gp_k4_seg_total,256,1,377636,45680,0.5556,0.2557,1.374,,,163.14
