variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_sort_k2,1504,1,4425135,403109,15.9325,7.0309,45.1562,0.0149,14656,2393.82
recursion_sort_k2_seg_node,1504,1,1437833,192279,11.0597,2.6978,22.9583,,,2064.19
recursion_sort_k2_seg_total,1504,1,2875666,384558,11.0597,2.6978,22.9583,,,2064.19
recursion_sort_k2_outer,1504,1,1549469,18551,4.8728,4.3331,22.1979,0.0149,14656,2393.82
recursion_sort_k2,1504,2,4425135,403109,12.7059,6.9629,43.8559,0.0152,14656,2394.04
recursion_sort_k2_seg_node,1504,2,1437833,192279,11.0597,2.669,22.1925,,,2064.0
recursion_sort_k2_seg_total,1504,2,2875666,384558,11.0597,2.669,22.1925,,,2064.0
recursion_sort_k2_outer,1504,2,1549469,18551,1.6462,4.2939,21.6634,0.0152,14656,2394.04
recursion_sort_k4,1504,1,5963783,403141,10.5987,5.2302,53.7796,0.0122,14656,4518.88
recursion_sort_k4_seg_node,1504,1,719391,96023,4.7989,1.1894,11.7369,,,1021.49
recursion_sort_k4_seg_total,1504,1,2877564,384092,4.7989,1.1894,11.7369,,,1021.49
recursion_sort_k4_outer,1504,1,3086219,19049,5.7998,4.0408,42.0427,0.0122,14656,4518.88
recursion_sort_k4,1504,2,5963783,403141,6.4243,5.1593,54.1141,0.0133,14656,4502.8
recursion_sort_k4_seg_node,1504,2,719391,96023,4.7989,1.2189,11.8157,,,1021.46
recursion_sort_k4_seg_total,1504,2,2877564,384092,4.7989,1.2189,11.8157,,,1021.46
recursion_sort_k4_outer,1504,2,3086219,19049,1.6254,3.9404,42.2984,0.0133,14656,4502.8
recursion_sort_k8,1504,1,9041662,403205,8.055,4.5553,84.8725,0.0124,14656,8539.04
recursion_sort_k8_seg_node,1504,1,360170,47895,2.2589,0.6919,6.4134,,,544.06
recursion_sort_k8_seg_total,1504,1,2881360,383160,2.2589,0.6919,6.4134,,,544.06
recursion_sort_k8_outer,1504,1,6160302,20045,5.7961,3.8634,78.4591,0.0124,14656,8539.04
recursion_sort_k8,1504,2,9041662,403205,3.8771,4.563,85.0234,0.0122,14656,8544.9
recursion_sort_k8_seg_node,1504,2,360170,47895,2.2589,0.671,6.3342,,,543.8
recursion_sort_k8_seg_total,1504,2,2881360,383160,2.2589,0.671,6.3342,,,543.8
recursion_sort_k8_outer,1504,2,6160302,20045,1.6182,3.892,78.6892,0.0122,14656,8544.9
recursion_sort_k2,2000,1,5397487,536037,23.7102,11.3643,50.2287,0.015,14656,2684.93
recursion_sort_k2_seg_node,2000,1,1911699,255767,13.9932,3.9901,26.2485,,,2658.32
recursion_sort_k2_seg_total,2000,1,3823398,511534,13.9932,3.9901,26.2485,,,2658.32
recursion_sort_k2_outer,2000,1,1574089,24503,9.717,7.3742,23.9802,0.015,14656,2684.93
recursion_sort_k2,2000,2,5397487,536037,16.6084,11.2323,50.1049,0.0146,14656,2705.93
recursion_sort_k2_seg_node,2000,2,1911699,255767,13.9932,3.8703,26.1572,,,2658.18
recursion_sort_k2_seg_total,2000,2,3823398,511534,13.9932,3.8703,26.1572,,,2658.18
recursion_sort_k2_outer,2000,2,1574089,24503,2.6152,7.362,23.9477,0.0146,14656,2705.93
recursion_sort_k4,2000,1,6936427,536069,15.6318,8.6054,56.4817,0.0135,14656,4755.63
recursion_sort_k4_seg_node,2000,1,956324,127767,5.9849,1.7019,13.8659,,,1339.96
recursion_sort_k4_seg_total,2000,1,3825296,511068,5.9849,1.7019,13.8659,,,1339.96
recursion_sort_k4_outer,2000,1,3111131,25001,9.6469,6.9035,42.6158,0.0135,14656,4755.63
recursion_sort_k4,2000,2,6936427,536069,8.6313,8.3739,56.5748,0.0135,14656,4802.93
recursion_sort_k4_seg_node,2000,2,956324,127767,5.9849,1.6444,13.7183,,,1340.07
recursion_sort_k4_seg_total,2000,2,3825296,511068,5.9849,1.6444,13.7183,,,1340.07
recursion_sort_k4_outer,2000,2,3111131,25001,2.6464,6.7295,42.8565,0.0135,14656,4802.93
recursion_sort_k8,2000,1,10013718,536133,11.4488,7.4557,87.2648,0.0177,14656,8900.46
recursion_sort_k8_seg_node,2000,1,478636,63767,2.7194,0.8438,7.4093,,,673.83
recursion_sort_k8_seg_total,2000,1,3829088,510136,2.7194,0.8438,7.4093,,,673.83
recursion_sort_k8_outer,2000,1,6184630,25997,8.7294,6.6119,79.8555,0.0177,14656,8900.46
recursion_sort_k8,2000,2,10013718,536133,5.3486,7.4976,87.24,0.0121,14656,8849.04
recursion_sort_k8_seg_node,2000,2,478636,63767,2.7194,0.836,7.279,,,673.73
recursion_sort_k8_seg_total,2000,2,3829088,510136,2.7194,0.836,7.279,,,673.73
recursion_sort_k8_outer,2000,2,6184630,25997,2.6292,6.6616,79.961,0.0121,14656,8849.04
recursion_sort_k2,2504,1,6600339,698653,34.3653,16.792,65.7438,0.0146,14656,3635.64
recursion_sort_k2_seg_node,2504,1,2500481,334040,20.7945,5.4396,40.5275,,,3635.64
recursion_sort_k2_seg_total,2504,1,5000962,668080,20.7945,5.4396,40.5275,,,3635.64
recursion_sort_k2_outer,2504,1,1599377,30573,13.5708,11.3524,25.2163,0.0146,14656,3312.61
recursion_sort_k2,2504,2,6600339,698653,24.6455,16.7857,65.8555,0.0144,14656,3635.55
recursion_sort_k2_seg_node,2504,2,2500481,334040,20.7945,5.4069,40.6328,,,3635.55
recursion_sort_k2_seg_total,2504,2,5000962,668080,20.7945,5.4069,40.6328,,,3635.55
recursion_sort_k2_outer,2504,2,1599377,30573,3.851,11.3788,25.2227,0.0144,14656,3312.55
recursion_sort_k4,2504,1,8139278,698685,24.1434,12.7164,65.6991,0.0134,14656,4873.78
recursion_sort_k4_seg_node,2504,1,1250672,166898,9.397,2.2546,21.2074,,,1800.56
recursion_sort_k4_seg_total,2504,1,5002688,667592,9.397,2.2546,21.2074,,,1800.56
recursion_sort_k4_outer,2504,1,3136590,31093,14.7464,10.4618,44.4917,0.0134,14656,4873.78
recursion_sort_k4,2504,2,8139278,698685,13.2691,12.6767,65.9028,0.0133,14656,4825.89
recursion_sort_k4_seg_node,2504,2,1250672,166898,9.397,2.2238,21.1685,,,1800.56
recursion_sort_k4_seg_total,2504,2,5002688,667592,9.397,2.2238,21.1685,,,1800.56
recursion_sort_k4_outer,2504,2,3136590,31093,3.8721,10.4529,44.7343,0.0133,14656,4825.89
recursion_sort_k8,2504,1,11216568,698749,19.0598,11.1438,91.8411,0.0123,14656,8950.05
recursion_sort_k8_seg_node,2504,1,625767,83327,4.0835,1.1003,11.2147,,,938.73
recursion_sort_k8_seg_total,2504,1,5006136,666616,4.0835,1.1003,11.2147,,,938.73
recursion_sort_k8_outer,2504,1,6210432,32133,14.9763,10.0435,80.6264,0.0123,14656,8950.05
recursion_sort_k8,2504,2,11216568,698749,8.0825,11.2606,92.3215,0.0122,14656,8873.88
recursion_sort_k8_seg_node,2504,2,625767,83327,4.0835,1.0704,11.1378,,,938.72
recursion_sort_k8_seg_total,2504,2,5006136,666616,4.0835,1.0704,11.1378,,,938.72
recursion_sort_k8_outer,2504,2,6210432,32133,3.999,10.1902,81.1837,0.0122,14656,8873.88
recursion_sort_k2,3000,1,7872618,870037,47.8595,23.2579,72.9252,0.0133,14656,5003.45
recursion_sort_k2_seg_node,3000,1,3124152,416745,26.2252,6.8529,45.5622,,,4427.75
recursion_sort_k2_seg_total,3000,1,6248304,833490,26.2252,6.8529,45.5622,,,4427.75
recursion_sort_k2_outer,3000,1,1624314,36547,21.6343,16.405,27.363,0.0133,14656,5003.45
recursion_sort_k2,3000,2,7872618,870037,32.234,24.7985,77.0352,0.0134,14656,4997.85
recursion_sort_k2_seg_node,3000,2,3124152,416745,26.2252,7.0916,47.444,,,4427.74
recursion_sort_k2_seg_total,3000,2,6248304,833490,26.2252,7.0916,47.444,,,4427.74
recursion_sort_k2_outer,3000,2,1624314,36547,6.0088,17.7069,29.5912,0.0134,14656,4997.85
recursion_sort_k4,3000,1,9411413,870069,32.3383,17.6351,71.0278,0.0125,14656,5406.05
recursion_sort_k4_seg_node,3000,1,1562465,208245,10.8556,2.7261,23.8467,,,2202.68
recursion_sort_k4_seg_total,3000,1,6249860,832980,10.8556,2.7261,23.8467,,,2202.68
recursion_sort_k4_outer,3000,1,3161553,37089,21.4827,14.909,47.1811,0.0125,14656,5406.05
recursion_sort_k4,3000,2,9411413,870069,16.4537,18.0139,70.4458,0.0125,14656,5406.09
recursion_sort_k4_seg_node,3000,2,1562465,208245,10.8556,2.7046,23.5808,,,2203.0
recursion_sort_k4_seg_total,3000,2,6249860,832980,10.8556,2.7046,23.5808,,,2203.0
recursion_sort_k4_outer,3000,2,3161553,37089,5.5981,15.3093,46.865,0.0125,14656,5406.09
recursion_sort_k8,3000,1,12488990,870133,25.085,15.7879,95.1587,0.0186,14656,9552.59
recursion_sort_k8_seg_node,3000,1,781620,103995,5.3419,1.3193,12.4704,,,1103.31
recursion_sort_k8_seg_total,3000,1,6252960,831960,5.3419,1.3193,12.4704,,,1103.31
recursion_sort_k8_outer,3000,1,6236030,38173,19.7431,14.4686,82.6883,0.0186,14656,9552.59
recursion_sort_k8,3000,2,12488990,870133,10.9883,15.7473,101.9878,0.0176,14656,9514.18
recursion_sort_k8_seg_node,3000,2,781620,103995,5.3419,1.2812,12.4102,,,1103.74
recursion_sort_k8_seg_total,3000,2,6252960,831960,5.3419,1.2812,12.4102,,,1103.74
recursion_sort_k8_outer,3000,2,6236030,38173,5.6464,14.4661,89.5776,0.0176,14656,9514.18
recursion_sort_k2,4000,1,10004750,1160037,79.1137,39.3681,86.7685,0.0125,14656,9033.02
recursion_sort_k2_seg_node,4000,1,4165277,555745,39.5133,10.7924,54.4262,,,6007.77
recursion_sort_k2_seg_total,4000,1,8330554,1111490,39.5133,10.7924,54.4262,,,6007.77
recursion_sort_k2_outer,4000,1,1674196,48547,39.6004,28.5757,32.3423,0.0125,14656,9033.02
recursion_sort_k2,4000,2,10004750,1160037,50.2371,40.6847,91.2216,0.0117,14656,9032.65
recursion_sort_k2_seg_node,4000,2,4165277,555745,39.5133,11.0177,57.2362,,,6007.76
recursion_sort_k2_seg_total,4000,2,8330554,1111490,39.5133,11.0177,57.2362,,,6007.76
recursion_sort_k2_outer,4000,2,1674196,48547,10.7238,29.667,33.9854,0.0117,14656,9032.65
recursion_sort_k4,4000,1,11543397,1160069,53.8611,30.643,81.0075,0.0122,14656,9084.05
recursion_sort_k4_seg_node,4000,1,2083027,277745,16.1315,4.2934,29.2768,,,2827.02
recursion_sort_k4_seg_total,4000,1,8332108,1110980,16.1315,4.2934,29.2768,,,2827.02
recursion_sort_k4_outer,4000,1,3211289,49089,37.7296,26.3496,51.7307,0.0122,14656,9084.05
recursion_sort_k4,4000,2,11543397,1160069,25.6905,30.4047,79.3005,0.0117,14656,9079.25
recursion_sort_k4_seg_node,4000,2,2083027,277745,16.1315,3.972,27.4977,,,2826.82
recursion_sort_k4_seg_total,4000,2,8332108,1110980,16.1315,3.972,27.4977,,,2826.82
recursion_sort_k4_outer,4000,2,3211289,49089,9.559,26.4327,51.8028,0.0117,14656,9079.25
recursion_sort_k8,4000,1,14621274,1160133,42.1491,27.1813,102.0505,0.0124,14656,10608.51
recursion_sort_k8_seg_node,4000,1,1041902,138745,8.266,1.7984,14.4457,,,1419.66
recursion_sort_k8_seg_total,4000,1,8335216,1109960,8.266,1.7984,14.4457,,,1419.66
recursion_sort_k8_outer,4000,1,6286058,50173,33.8831,25.3829,87.6048,0.0124,14656,10608.51
recursion_sort_k8,4000,2,14621274,1160133,17.9391,27.3191,102.4724,0.0119,14656,10608.46
recursion_sort_k8_seg_node,4000,2,1041902,138745,8.266,1.7713,14.4682,,,1419.66
recursion_sort_k8_seg_total,4000,2,8335216,1109960,8.266,1.7713,14.4682,,,1419.66
recursion_sort_k8_outer,4000,2,6286058,50173,9.6731,25.5478,88.0042,0.0119,14656,10608.46
recursion_sort_k2,5000,1,12565486,1505037,112.3185,60.2697,120.153,0.0127,14656,12889.36
recursion_sort_k2_seg_node,5000,1,5420691,722234,53.2821,15.3963,81.8493,,,8763.34
recursion_sort_k2_seg_total,5000,1,10841382,1444468,53.2821,15.3963,81.8493,,,8763.34
recursion_sort_k2_outer,5000,1,1724104,60569,59.0364,44.8734,38.3037,0.0127,14656,12889.36
recursion_sort_k2,5000,2,12565486,1505037,67.8529,60.0379,120.2456,0.0142,14656,12889.38
recursion_sort_k2_seg_node,5000,2,5420691,722234,53.2821,15.3391,82.2493,,,8763.29
recursion_sort_k2_seg_total,5000,2,10841382,1444468,53.2821,15.3391,82.2493,,,8763.29
recursion_sort_k2_outer,5000,2,1724104,60569,14.5708,44.6988,37.9963,0.0142,14656,12889.38
recursion_sort_k4,5000,1,14104424,1505069,81.4518,46.7813,99.9488,0.0118,14656,12931.3
recursion_sort_k4_seg_node,5000,1,2710691,360984,21.9173,5.6226,42.4814,,,3971.11
recursion_sort_k4_seg_total,5000,1,10842764,1443936,21.9173,5.6226,42.4814,,,3971.11
recursion_sort_k4_outer,5000,1,3261660,61133,59.5345,41.1587,57.4674,0.0118,14656,12931.3
recursion_sort_k4,5000,2,14104424,1505069,36.9441,47.7483,99.8343,0.0117,14656,12931.48
recursion_sort_k4_seg_node,5000,2,2710691,360984,21.9173,5.6572,42.4697,,,3971.03
recursion_sort_k4_seg_total,5000,2,10842764,1443936,21.9173,5.6572,42.4697,,,3971.03
recursion_sort_k4_outer,5000,2,3261660,61133,15.0268,42.0911,57.3646,0.0117,14656,12931.48
recursion_sort_k8,5000,1,17181716,1505133,69.9056,46.0274,118.8378,0.0167,14656,13133.71
recursion_sort_k8_seg_node,5000,1,1355691,180359,11.2685,2.5075,23.7507,,,1913.86
recursion_sort_k8_seg_total,5000,1,10845528,1442872,11.2685,2.5075,23.7507,,,1913.86
recursion_sort_k8_outer,5000,1,6336188,62261,58.6371,43.5199,95.0871,0.0167,14656,13133.71
recursion_sort_k8,5000,2,17181716,1505133,27.0549,45.3657,121.6372,0.0132,14656,13133.51
recursion_sort_k8_seg_node,5000,2,1355691,180359,11.2685,2.5035,22.8536,,,1913.93
recursion_sort_k8_seg_total,5000,2,10845528,1442872,11.2685,2.5035,22.8536,,,1913.93
recursion_sort_k8_outer,5000,2,6336188,62261,15.7864,42.8622,98.7836,0.0132,14656,13133.51
