variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_sort_k2,48,1,1529332,7621,0.5112,0.3773,20.0163,0.0115,14656,2023.23
recursion_sort_k2_seg_node,48,1,27084,3381,0.2904,0.1986,0.4239,,,57.71
recursion_sort_k2_seg_total,48,1,54168,6762,0.2904,0.1986,0.4239,,,57.71
recursion_sort_k2_outer,48,1,1475164,859,0.2208,0.1787,19.5924,0.0115,14656,2023.23
recursion_sort_k2,48,2,1529332,7621,0.489,0.3979,20.4838,0.0158,14656,2045.85
recursion_sort_k2_seg_node,48,2,27084,3381,0.2904,0.2135,0.4878,,,57.8
recursion_sort_k2_seg_total,48,2,54168,6762,0.2904,0.2135,0.4878,,,57.8
recursion_sort_k2_outer,48,2,1475164,859,0.1986,0.1844,19.996,0.0158,14656,2045.85
recursion_sort_k4,48,1,3068125,7653,0.4528,0.3711,39.773,0.0141,14656,4175.12
recursion_sort_k4_seg_node,48,1,14445,1629,0.2315,0.1863,0.3192,,,44.75
recursion_sort_k4_seg_total,48,1,57780,6516,0.2315,0.1863,0.3192,,,44.75
recursion_sort_k4_outer,48,1,3010345,1137,0.2213,0.1848,39.4538,0.0141,14656,4175.12
recursion_sort_k4,48,2,3068125,7653,0.4818,0.4515,41.3187,0.0139,14656,4166.01
recursion_sort_k4_seg_node,48,2,14445,1629,0.2315,0.2544,0.3902,,,45.38
recursion_sort_k4_seg_total,48,2,57780,6516,0.2315,0.2544,0.3902,,,45.38
recursion_sort_k4_outer,48,2,3010345,1137,0.2503,0.1971,40.9285,0.0139,14656,4166.01
recursion_sort_k8,48,1,6145714,7717,0.51,0.3786,76.3843,0.0122,14656,8127.94
recursion_sort_k8_seg_node,48,1,8126,753,0.2279,0.1818,0.2283,,,44.86
recursion_sort_k8_seg_total,48,1,65008,6024,0.2279,0.1818,0.2283,,,44.86
recursion_sort_k8_outer,48,1,6080706,1693,0.2821,0.1968,76.156,0.0122,14656,8127.94
recursion_sort_k8,48,2,6145714,7717,0.4638,0.4527,77.9215,0.0121,14656,8140.78
recursion_sort_k8_seg_node,48,2,8126,753,0.2279,0.2302,0.2242,,,46.27
recursion_sort_k8_seg_total,48,2,65008,6024,0.2279,0.2302,0.2242,,,46.27
recursion_sort_k8_outer,48,2,6080706,1693,0.2359,0.2225,77.6973,0.0121,14656,8140.78
recursion_sort_k2,96,1,1598729,17317,0.6679,0.451,16.3105,0.0123,14656,2097.51
recursion_sort_k2_seg_node,96,1,60423,7919,0.4264,0.2476,0.8684,,,101.94
recursion_sort_k2_seg_total,96,1,120846,15838,0.4264,0.2476,0.8684,,,101.94
recursion_sort_k2_outer,96,1,1477883,1479,0.2415,0.2034,15.4421,0.0123,14656,2097.51
recursion_sort_k2,96,2,1598729,17317,0.6239,0.4543,21.8707,0.0158,14656,2101.53
recursion_sort_k2_seg_node,96,2,60423,7919,0.4264,0.2513,0.8593,,,101.79
recursion_sort_k2_seg_total,96,2,120846,15838,0.4264,0.2513,0.8593,,,101.79
recursion_sort_k2_outer,96,2,1477883,1479,0.1975,0.203,21.0114,0.0158,14656,2101.53
recursion_sort_k4,96,1,3137523,17349,0.5593,0.4072,34.4784,0.0136,14656,4168.6
recursion_sort_k4_seg_node,96,1,31029,3887,0.3109,0.2076,0.4622,,,62.34
recursion_sort_k4_seg_total,96,1,124116,15548,0.3109,0.2076,0.4622,,,62.34
recursion_sort_k4_outer,96,1,3013407,1801,0.2484,0.1996,34.0162,0.0136,14656,4168.6
recursion_sort_k4,96,2,3137523,17349,0.5787,0.4778,40.4784,0.0138,14656,4171.73
recursion_sort_k4_seg_node,96,2,31029,3887,0.3109,0.265,0.6168,,,62.44
recursion_sort_k4_seg_total,96,2,124116,15548,0.3109,0.265,0.6168,,,62.44
recursion_sort_k4_outer,96,2,3013407,1801,0.2678,0.2128,39.8616,0.0138,14656,4171.73
recursion_sort_k8,96,1,6215110,17413,0.5094,0.4231,73.3475,0.012,14656,8039.19
recursion_sort_k8_seg_node,96,1,16332,1871,0.2447,0.2133,0.3021,,,45.52
recursion_sort_k8_seg_total,96,1,130656,14968,0.2447,0.2133,0.3021,,,45.52
recursion_sort_k8_outer,96,1,6084454,2445,0.2647,0.2098,73.0454,0.012,14656,8039.19
recursion_sort_k8,96,2,6215110,17413,0.5017,0.5019,75.9873,0.012,14656,8092.68
recursion_sort_k8_seg_node,96,2,16332,1871,0.2447,0.2662,0.3595,,,46.46
recursion_sort_k8_seg_total,96,2,130656,14968,0.2447,0.2662,0.3595,,,46.46
recursion_sort_k8_outer,96,2,6084454,2445,0.257,0.2357,75.6278,0.012,14656,8092.68
recursion_sort_k2,128,1,1639467,23077,0.7653,0.457,20.8158,0.0116,14656,2058.33
recursion_sort_k2_seg_node,128,1,80019,10607,0.5133,0.2465,1.2642,,,140.31
recursion_sort_k2_seg_total,128,1,160038,21214,0.5133,0.2465,1.2642,,,140.31
recursion_sort_k2_outer,128,1,1479429,1863,0.252,0.2105,19.5516,0.0116,14656,2058.33
recursion_sort_k2,128,2,1639467,23077,0.7176,0.4925,22.4649,0.0161,14656,2082.02
recursion_sort_k2_seg_node,128,2,80019,10607,0.5133,0.2726,1.3596,,,140.71
recursion_sort_k2_seg_total,128,2,160038,21214,0.5133,0.2726,1.3596,,,140.71
recursion_sort_k2_outer,128,2,1479429,1863,0.2043,0.2199,21.1053,0.0161,14656,2082.02
recursion_sort_k4,128,1,3178407,23109,0.6339,0.4273,41.0341,0.0141,14656,4205.95
recursion_sort_k4_seg_node,128,1,40827,5231,0.3623,0.2141,0.7423,,,85.23
recursion_sort_k4_seg_total,128,1,163308,20924,0.3623,0.2141,0.7423,,,85.23
recursion_sort_k4_outer,128,1,3015099,2185,0.2716,0.2132,40.2918,0.0141,14656,4205.95
recursion_sort_k4,128,2,3178407,23109,0.6316,0.5124,42.1791,0.0137,14656,4142.12
recursion_sort_k4_seg_node,128,2,40827,5231,0.3623,0.2806,1.0025,,,85.09
recursion_sort_k4_seg_total,128,2,163308,20924,0.3623,0.2806,1.0025,,,85.09
recursion_sort_k4_outer,128,2,3015099,2185,0.2693,0.2318,41.1766,0.0137,14656,4142.12
recursion_sort_k8,128,1,6255702,23173,0.576,0.4471,78.2797,0.0122,14656,8066.16
recursion_sort_k8_seg_node,128,1,21231,2543,0.2778,0.2159,0.5129,,,52.72
recursion_sort_k8_seg_total,128,1,169848,20344,0.2778,0.2159,0.5129,,,52.72
recursion_sort_k8_outer,128,1,6085854,2829,0.2982,0.2312,77.7668,0.0122,14656,8066.16
recursion_sort_k8,128,2,6255702,23173,0.5423,0.5127,78.5035,0.0122,14656,8128.26
recursion_sort_k8_seg_node,128,2,21231,2543,0.2778,0.2673,0.5609,,,52.87
recursion_sort_k8_seg_total,128,2,169848,20344,0.2778,0.2673,0.5609,,,52.87
recursion_sort_k8_outer,128,2,6085854,2829,0.2645,0.2454,77.9426,0.0122,14656,8128.26
recursion_sort_k2,256,1,1846614,51749,1.4501,0.6821,17.9494,0.0114,14656,2065.74
recursion_sort_k2_seg_node,256,1,180183,24153,1.0589,0.3762,2.3141,,,272.43
recursion_sort_k2_seg_total,256,1,360366,48306,1.0589,0.3762,2.3141,,,272.43
recursion_sort_k2_outer,256,1,1486248,3443,0.3912,0.3059,15.6353,0.0114,14656,2065.74
recursion_sort_k2,256,2,1846614,51749,1.303,0.7266,23.783,0.0153,14656,2094.95
recursion_sort_k2_seg_node,256,2,180183,24153,1.0589,0.4096,2.5414,,,272.32
recursion_sort_k2_seg_total,256,2,360366,48306,1.0589,0.4096,2.5414,,,272.32
recursion_sort_k2_outer,256,2,1486248,3443,0.2441,0.317,21.2416,0.0153,14656,2094.95
recursion_sort_k4,256,1,3385261,51781,0.9271,0.5668,36.4995,0.0137,14656,4186.59
recursion_sort_k4_seg_node,256,1,90823,11993,0.5534,0.2613,1.4264,,,159.78
recursion_sort_k4_seg_total,256,1,363292,47972,0.5534,0.2613,1.4264,,,159.78
recursion_sort_k4_outer,256,1,3021969,3809,0.3737,0.3055,35.0731,0.0137,14656,4186.59
recursion_sort_k4,256,2,3385261,51781,0.8649,0.682,41.7723,0.0137,14656,4220.11
recursion_sort_k4_seg_node,256,2,90823,11993,0.5534,0.3541,1.8732,,,159.76
recursion_sort_k4_seg_total,256,2,363292,47972,0.5534,0.3541,1.8732,,,159.76
recursion_sort_k4_outer,256,2,3021969,3809,0.3115,0.3279,39.8991,0.0137,14656,4220.11
recursion_sort_k8,256,1,6463138,51845,18.8799,0.5245,78.5576,0.0124,14656,8229.25
recursion_sort_k8_seg_node,256,1,46143,5913,4.5702,0.2121,0.7025,,,88.21
recursion_sort_k8_seg_total,256,1,369144,47304,4.5702,0.2121,0.7025,,,88.21
recursion_sort_k8_outer,256,1,6093994,4541,14.3097,0.3124,77.8551,0.0124,14656,8229.25
recursion_sort_k8,256,2,6463138,51845,4.9074,0.64,78.5483,0.0122,14656,8195.01
recursion_sort_k8_seg_node,256,2,46143,5913,4.5702,0.3018,1.0497,,,88.33
recursion_sort_k8_seg_total,256,2,369144,47304,4.5702,0.3018,1.0497,,,88.33
recursion_sort_k8_outer,256,2,6093994,4541,0.3372,0.3382,77.4986,0.0122,14656,8195.01
recursion_sort_k2,512,1,2304523,114725,3.2067,1.3165,20.6028,0.0113,14656,2115.69
recursion_sort_k2_seg_node,512,1,402636,54083,2.3257,0.6369,4.6345,,,576.24
