variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
flat_full_pairwise,8,1,3472,212,0.5473,0.1156,0.1062,0.0089,14656,51.16
flat_full_pairwise,8,2,3472,212,0.5473,0.1133,0.113,0.009,14656,51.16
flat_full_pairwise,8,3,3472,212,0.5473,0.1105,0.1088,0.0093,14656,51.16
flat_full_pairwise,16,1,5172,676,0.1195,0.1139,0.1472,0.0097,14656,51.16
flat_full_pairwise,16,2,5172,676,0.1195,0.1148,0.1449,0.0098,14656,51.16
flat_full_pairwise,16,3,5172,676,0.1195,0.1092,0.1382,0.0097,14656,51.16
flat_full_pairwise,24,1,7928,1396,0.1239,0.1118,0.1544,0.0109,14656,51.16
flat_full_pairwise,24,2,7928,1396,0.1239,0.1113,0.1631,0.0109,14656,51.16
flat_full_pairwise,24,3,7928,1396,0.1239,0.1176,0.1519,0.0109,14656,51.16
flat_full_pairwise,32,1,11740,2372,0.1351,0.1159,0.2172,0.0122,14656,51.16
flat_full_pairwise,32,2,11740,2372,0.1351,0.1148,0.2184,0.0122,14656,51.29
flat_full_pairwise,32,3,11740,2372,0.1351,0.1198,0.2253,0.0122,14656,51.29
flat_full_pairwise,40,1,16608,3604,0.1535,0.12,0.3143,0.0144,14656,51.41
flat_full_pairwise,40,2,16608,3604,0.1535,0.1247,0.3178,0.0142,14656,51.41
flat_full_pairwise,40,3,16608,3604,0.1535,0.1201,0.3211,0.0144,14656,51.54
flat_full_pairwise,48,1,22532,5092,0.1754,0.1257,0.3555,0.0169,14656,53.64
flat_full_pairwise,48,2,22532,5092,0.1754,0.1292,0.3509,0.0171,14656,53.88
flat_full_pairwise,48,3,22532,5092,0.1754,0.1275,0.3531,0.0172,14656,53.87
flat_full_pairwise,56,1,29512,6836,0.1963,0.1318,0.3857,0.02,14656,62.57
flat_full_pairwise,56,2,29512,6836,0.1963,0.1379,0.3883,0.0194,14656,62.42
flat_full_pairwise,56,3,29512,6836,0.1963,0.1359,0.3921,0.0197,14656,62.38
flat_full_pairwise,64,1,37548,8836,0.2448,0.1408,0.5806,0.023,14656,77.35
flat_full_pairwise,64,2,37548,8836,0.2448,0.1417,0.5916,0.0231,14656,77.42
flat_full_pairwise,64,3,37548,8836,0.2448,0.1469,0.5864,0.024,14656,77.39
flat_full_pairwise,72,1,46640,11092,0.2544,0.1557,0.6346,0.0269,14656,91.4
flat_full_pairwise,72,2,46640,11092,0.2544,0.1596,0.6415,0.0272,14656,91.04
flat_full_pairwise,72,3,46640,11092,0.2544,0.1547,0.6349,0.0272,14656,91.32
flat_full_pairwise,80,1,56788,13604,0.3016,0.1605,0.6924,0.0315,14656,100.29
