variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_a_k2,48,1,59969,7563,0.556,0.2365,0.9801,0.0938,43968,57.16
hier_a_k2,48,2,59969,7563,0.556,0.2223,0.9081,0.0989,43968,57.06
hier_a_k2,48,3,59969,7563,0.556,0.2359,0.9167,0.0829,43968,57.32
hier_a_k4,48,1,65664,7585,0.4489,0.3689,1.0759,0.1355,73280,40.46
hier_a_k4,48,2,65664,7585,0.4489,0.4488,1.0356,0.1394,73280,40.46
hier_a_k4,48,3,65664,7585,0.4489,0.3772,1.0582,0.1244,73280,40.36
hier_a_k8,48,1,77058,7629,0.4392,0.547,1.4424,0.2226,131904,38.59
hier_a_k8,48,2,77058,7629,0.4392,0.6265,1.5077,0.1861,131904,39.59
hier_a_k8,48,3,77058,7629,0.4392,0.6493,1.4418,0.2134,131904,40.07
hier_a_k2,96,1,127878,17211,0.6593,0.289,1.6696,0.1189,43968,102.71
hier_a_k2,96,2,127878,17211,0.6593,0.2899,1.6856,0.1118,43968,102.44
hier_a_k2,96,3,127878,17211,0.6593,0.2866,1.7136,0.1077,43968,102.74
hier_a_k4,96,1,133574,17233,0.5829,0.4444,2.3261,0.1897,73280,63.28
hier_a_k4,96,2,133574,17233,0.5829,0.5783,2.9237,0.1836,73280,63.48
hier_a_k4,96,3,133574,17233,0.5829,0.5317,2.8646,0.1875,73280,63.44
hier_a_k8,96,1,144966,17277,0.5848,0.7852,3.4727,0.2794,131904,42.5
hier_a_k8,96,2,144966,17277,0.5848,1.2924,3.4224,0.2632,131904,42.36
hier_a_k8,96,3,144966,17277,0.5848,0.7725,3.4482,0.279,131904,42.41
hier_a_k2,192,1,280157,38619,1.2142,0.4801,6.1799,0.1148,43968,232.26
hier_a_k2,192,2,280157,38619,1.2142,0.4686,6.1919,0.1441,43968,232.52
hier_a_k2,192,3,280157,38619,1.2142,0.4889,6.282,0.123,43968,232.24
hier_a_k4,192,1,285852,38641,0.9016,0.6131,6.882,0.1683,73280,131.99
hier_a_k4,192,2,285852,38641,0.9016,0.5858,6.716,0.165,73280,131.55
hier_a_k4,192,3,285852,38641,0.9016,0.5893,6.7606,0.1809,73280,131.47
hier_a_k8,192,1,297242,38685,0.7455,1.569,7.8227,0.2726,131904,78.98
hier_a_k8,192,2,297242,38685,0.7455,0.8692,7.7793,0.2696,131904,78.95
hier_a_k8,192,3,297242,38685,0.7455,0.8816,7.6479,0.2677,131904,79.0
hier_a_k2,480,1,769926,107067,2.9858,0.8816,12.8769,0.1345,43968,551.38
hier_a_k2,480,2,769926,107067,2.9858,0.8865,12.9491,0.126,43968,551.39
hier_a_k2,480,3,769926,107067,2.9858,0.8923,12.9766,0.1233,43968,551.51
hier_a_k4,480,1,775622,107089,2.0612,0.9984,15.3338,0.1839,73280,285.41
hier_a_k4,480,2,775622,107089,2.0612,1.0219,14.1464,0.1811,73280,285.23
hier_a_k4,480,3,775622,107089,2.0612,1.0171,13.8981,0.1816,73280,285.01
hier_a_k8,480,1,787014,107133,1.5659,6.8579,15.5327,0.2765,131904,159.77
hier_a_k8,480,2,787014,107133,1.5659,4.8339,15.6088,0.2783,131904,159.17
hier_a_k8,480,3,787014,107133,1.5659,6.0673,15.4266,0.2795,131904,158.59
