variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_a_k2,48,1,59969,7563,0.556,0.697,2.5306,0.0938,43968,57.16
hier_a_k2,48,2,59969,7563,0.556,0.6569,2.325,0.0989,43968,57.06
hier_a_k2,48,3,59969,7563,0.556,0.6836,2.3214,0.0829,43968,57.32
hier_a_k4,48,1,65664,7585,0.4489,1.4906,5.0179,0.1355,73280,40.46
hier_a_k4,48,2,65664,7585,0.4489,1.5703,4.8331,0.1394,73280,40.46
hier_a_k4,48,3,65664,7585,0.4489,1.492,5.0313,0.1244,73280,40.36
hier_a_k8,48,1,77058,7629,0.4392,4.1821,12.246,0.2226,131904,38.59
hier_a_k8,48,2,77058,7629,0.4392,4.3467,12.636,0.1861,131904,39.59
hier_a_k8,48,3,77058,7629,0.4392,4.5622,11.9122,0.2134,131904,40.07
hier_a_k2,96,1,127878,17211,0.6593,0.8274,3.76,0.1189,43968,102.71
hier_a_k2,96,2,127878,17211,0.6593,0.8294,3.9569,0.1118,43968,102.44
hier_a_k2,96,3,127878,17211,0.6593,0.8059,3.8826,0.1077,43968,102.74
hier_a_k4,96,1,133574,17233,0.5829,1.6588,10.3463,0.1897,73280,63.28
hier_a_k4,96,2,133574,17233,0.5829,2.0735,13.2663,0.1836,73280,63.48
hier_a_k4,96,3,133574,17233,0.5829,2.1189,13.2338,0.1875,73280,63.44
hier_a_k8,96,1,144966,17277,0.5848,5.8543,28.9027,0.2794,131904,42.5
hier_a_k8,96,2,144966,17277,0.5848,6.3064,28.4686,0.2632,131904,42.36
hier_a_k8,96,3,144966,17277,0.5848,5.7612,29.2905,0.279,131904,42.41
hier_a_k2,192,1,280157,38619,1.2142,1.3008,12.7751,0.1148,43968,232.26
hier_a_k2,192,2,280157,38619,1.2142,1.2905,12.7499,0.1441,43968,232.52
hier_a_k2,192,3,280157,38619,1.2142,1.3172,13.0616,0.123,43968,232.24
hier_a_k4,192,1,285852,38641,0.9016,2.3915,30.3811,0.1683,73280,131.99
hier_a_k4,192,2,285852,38641,0.9016,2.4321,29.3464,0.165,73280,131.55
hier_a_k4,192,3,285852,38641,0.9016,2.4411,29.3219,0.1809,73280,131.47
hier_a_k8,192,1,297242,38685,0.7455,6.8165,67.2501,0.2726,131904,78.98
hier_a_k8,192,2,297242,38685,0.7455,6.2465,65.1797,0.2696,131904,78.95
hier_a_k8,192,3,297242,38685,0.7455,6.6234,64.7195,0.2677,131904,79.0
hier_a_k2,480,1,769926,107067,2.9858,2.5464,26.4665,0.1345,43968,551.38
hier_a_k2,480,2,769926,107067,2.9858,2.5568,26.6038,0.126,43968,551.39
hier_a_k2,480,3,769926,107067,2.9858,2.5569,26.5898,0.1233,43968,551.51
hier_a_k4,480,1,775622,107089,2.0612,3.8252,66.7088,0.1839,73280,285.41
hier_a_k4,480,2,775622,107089,2.0612,3.924,59.5966,0.1811,73280,285.23
hier_a_k4,480,3,775622,107089,2.0612,4.0534,58.7844,0.1816,73280,285.01
hier_a_k8,480,1,787014,107133,1.5659,13.6478,128.0774,0.2765,131904,159.77
hier_a_k8,480,2,787014,107133,1.5659,11.7667,130.2707,0.2783,131904,159.17
hier_a_k8,480,3,787014,107133,1.5659,12.8399,130.7454,0.2795,131904,158.59
