variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_fs_k2,48,1,62054,6708,0.3547,0.2432,1.0418,0.0898,43968,59.62
hier_fs_k2,48,2,62054,6708,0.3547,0.2428,0.9664,0.103,43968,59.8
hier_fs_k2,48,3,62054,6708,0.3547,0.2313,0.9654,0.0933,43968,59.49
hier_fs_k4,48,1,67923,6740,0.431,0.3583,1.1704,0.1454,73280,41.0
hier_fs_k4,48,2,67923,6740,0.431,0.3533,1.1737,0.1215,73280,40.94
hier_fs_k4,48,3,67923,6740,0.431,0.3577,1.1711,0.1304,73280,40.89
hier_fs_k8,48,1,79661,6804,0.4217,0.6733,1.8375,0.2203,131904,37.84
hier_fs_k8,48,2,79661,6804,0.4217,0.6177,1.9168,0.2282,131904,37.48
hier_fs_k8,48,3,79661,6804,0.4217,0.7016,1.9204,0.2201,131904,37.56
hier_fs_k2,96,1,131797,15492,0.6407,0.2972,1.7706,0.0907,43968,106.34
hier_fs_k2,96,2,131797,15492,0.6407,0.2812,1.8159,0.0898,43968,106.2
hier_fs_k2,96,3,131797,15492,0.6407,0.276,2.2567,0.1346,43968,104.89
hier_fs_k4,96,1,137665,15524,0.6456,0.5216,2.8647,0.1777,73280,63.81
hier_fs_k4,96,2,137665,15524,0.6456,0.5091,2.9137,0.1865,73280,63.9
hier_fs_k4,96,3,137665,15524,0.6456,0.4894,2.9573,0.1832,73280,64.23
hier_fs_k8,96,1,149401,15588,0.5864,1.1618,4.4819,0.2596,131904,50.23
hier_fs_k8,96,2,149401,15588,0.5864,0.8339,4.5099,0.2843,131904,50.42
hier_fs_k8,96,3,149401,15588,0.5864,1.0254,4.4896,0.279,131904,50.18
hier_fs_k2,192,1,287750,35172,1.047,0.4822,6.0825,0.1353,43968,249.96
hier_fs_k2,192,2,287750,35172,1.047,0.4727,6.1321,0.1281,43968,249.87
hier_fs_k2,192,3,287750,35172,1.047,0.4795,6.4029,0.1385,43968,250.43
hier_fs_k4,192,1,293619,35204,0.8148,0.5748,7.2082,0.1728,73280,136.18
hier_fs_k4,192,2,293619,35204,0.8148,0.5752,6.9272,0.1929,73280,136.14
hier_fs_k4,192,3,293619,35204,0.8148,0.565,6.8489,0.1867,73280,136.23
hier_fs_k8,192,1,305357,35268,0.6417,0.8068,7.7239,0.2682,131904,80.14
hier_fs_k8,192,2,305357,35268,0.6417,0.8991,7.7269,0.2696,131904,80.26
hier_fs_k8,192,3,305357,35268,0.6417,0.7955,7.6449,0.2661,131904,80.39
hier_fs_k2,480,1,788533,98436,2.2896,0.7978,12.6944,0.126,43968,565.95
hier_fs_k2,480,2,788533,98436,2.2896,0.8226,12.7089,0.1129,43968,566.02
hier_fs_k2,480,3,788533,98436,2.2896,0.8189,12.7469,0.1113,43968,566.21
hier_fs_k4,480,1,794401,98468,1.3777,0.834,13.7737,0.1804,73280,313.05
hier_fs_k4,480,2,794401,98468,1.3777,0.8209,13.641,0.1869,73280,312.75
hier_fs_k4,480,3,794401,98468,1.3777,0.809,13.6645,0.1814,73280,313.09
hier_fs_k8,480,1,806137,98532,0.8998,1.0068,15.1797,0.2678,131904,159.78
hier_fs_k8,480,2,806137,98532,0.8998,0.925,15.3133,0.2648,131904,159.8
hier_fs_k8,480,3,806137,98532,0.8998,1.0889,15.348,0.2659,131904,159.55
