exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,48,2,24,12,1,inner_segment,sub_0,28480,3168,0.3386,0.1913,0.4496,,,61.71
2,48,2,24,12,1,inner_segment,sub_1,28480,3168,0.3386,0.196,0.486,,,61.75
2,48,2,24,12,1,outer_recursive,rec_exp2_k_segments,1473357,384,0.1992,0.1737,15.0195,0.012,14656,2152.42
2,96,2,48,14,1,inner_segment,sub_0,63132,7490,0.3987,0.2156,0.888,,,106.22
2,96,2,48,14,1,inner_segment,sub_1,63132,7490,0.3987,0.2181,0.8373,,,106.31
2,96,2,48,14,1,outer_recursive,rec_exp2_k_segments,1473796,524,0.2015,0.1757,19.4377,0.0158,14656,2122.97
2,192,2,96,16,1,inner_segment,sub_0,140841,17212,0.8074,0.2967,2.1522,,,236.69
2,192,2,96,16,1,inner_segment,sub_1,140841,17212,0.8074,0.3502,3.2004,,,236.98
2,192,2,96,16,1,outer_recursive,rec_exp2_k_segments,1474331,760,0.301,0.2573,21.5879,0.0153,14656,2159.23
2,480,2,240,18,1,inner_segment,sub_0,390773,48534,2.172,0.4853,4.8364,,,555.7
2,480,2,240,18,1,inner_segment,sub_1,390773,48534,2.172,0.4932,4.8619,,,555.77
2,480,2,240,18,1,outer_recursive,rec_exp2_k_segments,1475250,1380,0.2224,0.1847,21.2536,0.0147,14656,2068.88
2,480,4,120,18,1,inner_segment,sub_0,196073,24174,1.0452,0.3408,2.7588,,,292.51
2,480,4,120,18,1,inner_segment,sub_1,196073,24174,1.0452,0.4303,3.9917,,,292.75
2,480,4,120,18,1,inner_segment,sub_2,196073,24174,1.0452,0.4353,3.9409,,,292.41
2,480,4,120,18,1,inner_segment,sub_3,196073,24174,1.0452,0.4271,3.9019,,,292.08
2,480,4,120,18,1,outer_recursive,rec_exp2_k_segments,3011829,1798,0.3171,0.2084,41.3094,0.0189,14656,4125.46
2,192,4,48,16,1,inner_segment,sub_0,71193,8524,0.4539,0.2373,1.1583,,,140.09
2,192,4,48,16,1,inner_segment,sub_1,71193,8524,0.4539,0.2399,1.1445,,,139.7
2,192,4,48,16,1,inner_segment,sub_2,71193,8524,0.4539,0.2299,1.2133,,,140.06
2,192,4,48,16,1,inner_segment,sub_3,71193,8524,0.4539,0.2448,1.2384,,,139.76
2,192,4,48,16,1,outer_recursive,rec_exp2_k_segments,3010567,1134,0.2334,0.1824,41.2323,0.0138,14656,4136.3
2,96,4,24,14,1,inner_segment,sub_0,32424,3674,0.3302,0.208,0.4964,,,62.77
2,96,4,24,14,1,inner_segment,sub_1,32424,3674,0.3302,0.1994,0.5535,,,62.78
2,96,4,24,14,1,inner_segment,sub_2,32424,3674,0.3302,0.1986,0.495,,,62.82
2,96,4,24,14,1,inner_segment,sub_3,32424,3674,0.3302,0.2112,0.5369,,,63.28
2,96,4,24,14,1,outer_recursive,rec_exp2_k_segments,3009689,854,0.241,0.2034,42.6401,0.0136,14656,4118.6
2,48,4,12,12,1,inner_segment,sub_0,15184,1524,0.2794,0.1852,0.287,,,51.31
2,48,4,12,12,1,inner_segment,sub_1,15184,1524,0.2794,0.1809,0.29,,,51.31
2,48,4,12,12,1,inner_segment,sub_2,15184,1524,0.2794,0.1857,0.311,,,51.43
2,48,4,12,12,1,inner_segment,sub_3,15184,1524,0.2794,0.1882,0.2914,,,51.43
2,48,4,12,12,1,outer_recursive,rec_exp2_k_segments,3008907,670,0.227,0.1853,39.4367,0.0147,14656,4144.45
