exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
1,48,2,24,12,1,inner_segment,sub_0,28480,3168,0.2875,0.1911,0.4834,,,61.48
1,48,2,24,12,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1216,0.12,9.5366,0.0115,14656,1008.36
1,48,2,24,12,2,inner_segment,sub_0,28480,3168,0.2875,0.1988,0.456,,,61.47
1,48,2,24,12,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1183,0.1148,9.8868,0.0495,14656,995.35
1,128,2,64,14,1,inner_segment,sub_0,83604,10034,0.4775,0.2438,1.2949,,,145.32
1,128,2,64,14,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1205,0.1107,9.6695,0.0116,14656,991.74
1,128,2,64,14,2,inner_segment,sub_0,83604,10034,0.4775,0.2554,1.3292,,,145.38
1,128,2,64,14,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1264,0.116,9.0459,0.0114,14656,995.29
1,256,2,128,16,1,inner_segment,sub_0,187273,23004,0.974,0.3395,2.3395,,,287.97
1,256,2,128,16,1,outer_recursive,rec_exp1_single_segment,704363,2,0.115,0.1065,9.7819,0.0115,14656,995.53
1,256,2,128,16,2,inner_segment,sub_0,187273,23004,0.974,0.3523,2.5144,,,287.87
1,256,2,128,16,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1196,0.1169,10.1398,0.0113,14656,998.2
1,512,2,256,18,1,inner_segment,sub_0,416733,51782,2.1728,0.4944,4.6057,,,597.71
1,512,2,256,18,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1158,0.1102,9.7947,0.0112,14656,997.23
1,512,2,256,18,2,inner_segment,sub_0,416733,51782,2.1728,0.5151,4.9117,,,598.08
1,512,2,256,18,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1195,0.1103,10.4042,0.0174,14656,1018.93
1,768,2,384,20,1,inner_segment,sub_0,690098,86192,3.7098,0.7376,8.2025,,,1054.11
1,768,2,384,20,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1186,0.1119,10.0311,0.0114,14656,987.01
1,768,2,384,20,2,inner_segment,sub_0,690098,86192,3.7098,0.7905,8.6445,,,1054.07
1,768,2,384,20,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1204,0.1108,11.0953,0.0175,14656,986.61
1,1000,2,500,20,1,inner_segment,sub_0,898202,112292,4.8381,0.9744,12.4252,,,1251.82
1,1000,2,500,20,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1196,0.1092,11.1021,0.0169,14656,998.14
1,1000,2,500,20,2,inner_segment,sub_0,898202,112292,4.8381,1.0453,13.2539,,,1251.96
1,1000,2,500,20,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1608,0.1151,10.8487,0.0171,14656,995.34
1,2000,2,1000,22,1,inner_segment,sub_0,1966530,246770,11.9507,2.2134,24.5292,,,2578.58
1,2000,2,1000,22,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1551,0.1252,10.875,0.0177,14656,994.11
1,2000,2,1000,22,2,inner_segment,sub_0,1966530,246770,11.9507,2.2657,26.2583,,,2578.86
1,2000,2,1000,22,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1545,0.1275,10.8632,0.0169,14656,1008.09
1,1504,2,752,22,1,inner_segment,sub_0,1479086,185514,8.7526,1.6547,19.2227,,,2115.82
1,1504,2,752,22,1,outer_recursive,rec_exp1_single_segment,704363,2,0.1179,0.1094,10.9182,0.0174,14656,997.23
1,1504,2,752,22,2,inner_segment,sub_0,1479086,185514,8.7526,1.7332,23.3103,,,2115.93
1,1504,2,752,22,2,outer_recursive,rec_exp1_single_segment,704363,2,0.1576,0.1257,10.8306,0.0175,14656,998.22
