exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
1,48,2,24,12,1,inner_segment,sub_0,27084,3381,0.2973,0.1967,0.4405,,,57.57
1,48,2,24,12,1,outer_recursive,rec_exp1_single_segment_a,704934,2,0.1225,0.1125,10.5518,0.0112,14656,1009.46
1,48,2,24,12,2,inner_segment,sub_0,27084,3381,0.2973,0.2035,0.4456,,,57.46
1,48,2,24,12,2,outer_recursive,rec_exp1_single_segment_a,704934,2,0.1166,0.1093,9.8643,0.0551,14656,983.89
1,96,2,48,14,1,inner_segment,sub_0,60423,7919,0.4066,0.2312,0.8152,,,101.63
1,96,2,48,14,1,outer_recursive,rec_exp1_single_segment_a,705686,2,0.1222,0.1077,9.8138,0.0114,14656,985.03
1,96,2,48,14,2,inner_segment,sub_0,60423,7919,0.4066,0.271,0.8245,,,101.77
1,96,2,48,14,2,outer_recursive,rec_exp1_single_segment_a,705686,2,0.1157,0.1094,8.8298,0.0171,14656,984.82
1,128,2,64,14,1,inner_segment,sub_0,80019,10607,0.5488,0.2541,1.2872,,,140.16
1,128,2,64,14,1,outer_recursive,rec_exp1_single_segment_a,706164,2,0.1191,0.1094,9.8703,0.0141,14656,995.43
1,128,2,64,14,2,inner_segment,sub_0,80019,10607,0.5488,0.3163,1.6582,,,140.3
1,128,2,64,14,2,outer_recursive,rec_exp1_single_segment_a,706164,2,0.169,0.1188,11.068,0.0169,14656,1007.53
1,256,2,128,16,1,inner_segment,sub_0,180183,24153,1.0187,0.3789,2.2895,,,272.26
1,256,2,128,16,1,outer_recursive,rec_exp1_single_segment_a,708218,2,0.117,0.107,9.8572,0.0111,14656,1009.15
1,256,2,128,16,2,inner_segment,sub_0,180183,24153,1.0187,0.3964,2.4612,,,272.01
1,256,2,128,16,2,outer_recursive,rec_exp1_single_segment_a,708218,2,0.1189,0.1076,10.8448,0.021,14656,1011.52
1,256,4,64,16,1,inner_segment,sub_0,90823,11993,0.609,0.2685,1.3888,,,159.57
1,256,4,64,16,1,outer_recursive,rec_exp1_single_segment_a,706164,2,0.1201,0.1082,11.4015,0.0175,14656,1002.23
1,256,4,64,16,2,inner_segment,sub_0,90823,11993,0.609,0.3505,1.9192,,,159.66
1,256,4,64,16,2,outer_recursive,rec_exp1_single_segment_a,706164,2,0.1741,0.1136,10.9321,0.0254,14656,988.14
1,512,2,256,18,1,inner_segment,sub_0,402636,54083,2.3178,0.6362,4.6377,,,576.02
1,512,2,256,18,1,outer_recursive,rec_exp1_single_segment_a,712180,2,0.1178,0.1094,9.9814,0.012,14656,1008.96
1,512,2,256,18,2,inner_segment,sub_0,402636,54083,2.3178,0.7259,6.9028,,,576.05
1,512,2,256,18,2,outer_recursive,rec_exp1_single_segment_a,712180,2,0.1795,0.1178,11.1234,0.0171,14656,1030.96
1,768,2,384,20,1,inner_segment,sub_0,668992,89645,4.1904,1.0947,11.7233,,,983.48
1,768,2,384,20,1,outer_recursive,rec_exp1_single_segment_a,716215,2,0.1695,0.1199,11.0251,0.026,14656,1021.19
1,768,2,384,20,2,inner_segment,sub_0,668992,89645,4.1904,1.1231,11.5845,,,983.57
1,768,2,384,20,2,outer_recursive,rec_exp1_single_segment_a,716215,2,0.1618,0.1163,10.9936,0.0165,14656,1022.49
1,1000,2,500,20,1,inner_segment,sub_0,870745,116789,5.7984,1.7104,14.7924,,,1240.81
1,1000,2,500,20,1,outer_recursive,rec_exp1_single_segment_a,719874,2,0.1609,0.1244,11.5751,0.0187,14656,1002.01
1,1000,2,500,20,2,inner_segment,sub_0,870745,116789,5.7984,1.5769,13.6486,,,1240.9
1,1000,2,500,20,2,outer_recursive,rec_exp1_single_segment_a,719874,2,0.1604,0.1191,11.0069,0.027,14656,1005.48
1,1504,2,752,22,1,inner_segment,sub_0,1437833,192279,10.1611,2.6127,19.0523,,,2064.0
1,1504,2,752,22,1,outer_recursive,rec_exp1_single_segment_a,727770,2,0.1655,0.1186,11.1891,0.0168,14656,1024.09
1,1504,2,752,22,2,inner_segment,sub_0,1437833,192279,10.1611,2.7915,22.9216,,,2063.86
1,1504,2,752,22,2,outer_recursive,rec_exp1_single_segment_a,727770,2,0.1534,0.1235,11.1764,0.0161,14656,1036.5
1,2000,2,1000,22,1,inner_segment,sub_0,1911699,255767,14.3133,3.8731,26.2204,,,2658.21
1,2000,2,1000,22,1,outer_recursive,rec_exp1_single_segment_a,735492,2,0.1557,0.1172,11.1722,0.0169,14656,1029.79
1,2000,2,1000,22,2,inner_segment,sub_0,1911699,255767,14.3133,3.8062,26.3728,,,2658.36
1,2000,2,1000,22,2,outer_recursive,rec_exp1_single_segment_a,735492,2,0.1523,0.1193,11.1915,0.0171,14656,1018.5
1,512,4,128,18,1,inner_segment,sub_0,201964,26947,1.9363,0.3656,2.4886,,,295.07
1,512,4,128,18,1,outer_recursive,rec_exp1_single_segment_a,708218,2,0.1165,0.1061,9.8347,0.0175,14656,998.19
1,512,4,128,18,2,inner_segment,sub_0,201964,26947,1.9363,0.4471,3.6704,,,295.02
1,512,4,128,18,2,outer_recursive,rec_exp1_single_segment_a,708218,2,0.1731,0.117,10.9585,0.017,14656,989.05
1,96,4,24,14,1,inner_segment,sub_0,31029,3887,0.34,0.2091,0.4576,,,62.28
1,96,4,24,14,1,outer_recursive,rec_exp1_single_segment_a,704934,2,0.1159,0.1117,10.2717,0.0176,14656,997.58
1,96,4,24,14,2,inner_segment,sub_0,31029,3887,0.34,0.2966,0.6491,,,62.28
1,96,4,24,14,2,outer_recursive,rec_exp1_single_segment_a,704934,2,0.1788,0.1152,10.934,0.017,14656,995.0
