exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,96,2,48,14,1,inner_segment,sub_0,63132,7490,0.558,0.231,0.8659,,,103.64
2,96,2,48,14,1,inner_segment,sub_1,63132,7490,0.558,0.2143,0.7996,,,105.89
2,96,2,48,14,1,outer_recursive,recursion,1473796,524,0.2044,0.1738,19.0956,0.0785,14656,2097.13
2,96,2,48,14,2,inner_segment,sub_0,63132,7490,0.558,0.2333,0.8489,,,104.11
2,96,2,48,14,2,inner_segment,sub_1,63132,7490,0.558,0.2251,0.8543,,,106.09
2,96,2,48,14,2,outer_recursive,recursion,1473796,524,0.1963,0.1762,20.6823,0.0144,14656,2097.19
2,96,4,24,14,1,inner_segment,sub_0,32424,3674,0.3126,0.2009,0.4616,,,62.29
2,96,4,24,14,1,inner_segment,sub_1,32424,3674,0.3126,0.1865,0.4597,,,63.14
2,96,4,24,14,1,inner_segment,sub_2,32424,3674,0.3126,0.1942,0.4611,,,63.08
2,96,4,24,14,1,inner_segment,sub_3,32424,3674,0.3126,0.1899,0.4454,,,63.17
2,96,4,24,14,1,outer_recursive,recursion,3009689,854,0.2059,0.176,34.4508,0.0141,14656,4134.29
2,96,4,24,14,2,inner_segment,sub_0,32424,3674,0.3126,0.3012,0.676,,,62.69
2,96,4,24,14,2,inner_segment,sub_1,32424,3674,0.3126,0.2777,0.6345,,,63.5
2,96,4,24,14,2,inner_segment,sub_2,32424,3674,0.3126,0.2588,0.6191,,,63.03
2,96,4,24,14,2,inner_segment,sub_3,32424,3674,0.3126,0.2563,0.6125,,,63.1
2,96,4,24,14,2,outer_recursive,recursion,3009689,854,0.2581,0.1883,39.5073,0.0138,14656,4153.42
2,96,8,12,14,1,inner_segment,sub_0,17070,1766,0.253,0.1935,0.3494,,,49.2
2,96,8,12,14,1,inner_segment,sub_1,17070,1766,0.253,0.1782,0.361,,,49.37
2,96,8,12,14,1,inner_segment,sub_2,17070,1766,0.253,0.1749,0.4135,,,49.27
2,96,8,12,14,1,inner_segment,sub_3,17070,1766,0.253,0.1811,0.355,,,49.27
2,96,8,12,14,1,inner_segment,sub_4,17070,1766,0.253,0.1782,0.3544,,,49.02
2,96,8,12,14,1,inner_segment,sub_5,17070,1766,0.253,0.1816,0.3535,,,49.15
2,96,8,12,14,1,inner_segment,sub_6,17070,1766,0.253,0.1823,0.3514,,,49.01
