variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_k2,1504,1,4425135,403109,15.9325,7.0309,45.1562,0.0149,14656,2393.82
recursion_k2,1504,2,4425135,403109,12.7059,6.9629,43.8559,0.0152,14656,2394.04
recursion_k4,1504,1,5963783,403141,10.5987,5.2302,53.7796,0.0122,14656,4518.88
recursion_k4,1504,2,5963783,403141,6.4243,5.1593,54.1141,0.0133,14656,4502.8
recursion_k8,1504,1,9041662,403205,8.055,4.5553,84.8725,0.0124,14656,8539.04
recursion_k8,1504,2,9041662,403205,3.8771,4.563,85.0234,0.0122,14656,8544.9
recursion_k2,2000,1,5397487,536037,23.7102,11.3643,50.2287,0.015,14656,2684.93
recursion_k2,2000,2,5397487,536037,16.6084,11.2323,50.1049,0.0146,14656,2705.93
recursion_k4,2000,1,6936427,536069,15.6318,8.6054,56.4817,0.0135,14656,4755.63
recursion_k4,2000,2,6936427,536069,8.6313,8.3739,56.5748,0.0135,14656,4802.93
recursion_k8,2000,1,10013718,536133,11.4488,7.4557,87.2648,0.0177,14656,8900.46
recursion_k8,2000,2,10013718,536133,5.3486,7.4976,87.24,0.0121,14656,8849.04
recursion_k2,2504,1,6600339,698653,34.3653,16.792,65.7438,0.0146,14656,3635.64
recursion_k2,2504,2,6600339,698653,24.6455,16.7857,65.8555,0.0144,14656,3635.55
recursion_k4,2504,1,8139278,698685,24.1434,12.7164,65.6991,0.0134,14656,4873.78
recursion_k4,2504,2,8139278,698685,13.2691,12.6767,65.9028,0.0133,14656,4825.89
recursion_k8,2504,1,11216568,698749,19.0598,11.1438,91.8411,0.0123,14656,8950.05
recursion_k8,2504,2,11216568,698749,8.0825,11.2606,92.3215,0.0122,14656,8873.88
recursion_k2,3000,1,7872618,870037,47.8595,23.2579,72.9252,0.0133,14656,5003.45
recursion_k2,3000,2,7872618,870037,32.234,24.7985,77.0352,0.0134,14656,4997.85
recursion_k4,3000,1,9411413,870069,32.3383,17.6351,71.0278,0.0125,14656,5406.05
recursion_k4,3000,2,9411413,870069,16.4537,18.0139,70.4458,0.0125,14656,5406.09
recursion_k8,3000,1,12488990,870133,25.085,15.7879,95.1587,0.0186,14656,9552.59
recursion_k8,3000,2,12488990,870133,10.9883,15.7473,101.9878,0.0176,14656,9514.18
recursion_k2,4000,1,10004750,1160037,79.1137,39.3681,86.7685,0.0125,14656,9033.02
recursion_k2,4000,2,10004750,1160037,50.2371,40.6847,91.2216,0.0117,14656,9032.65
recursion_k4,4000,1,11543397,1160069,53.8611,30.643,81.0075,0.0122,14656,9084.05
recursion_k4,4000,2,11543397,1160069,25.6905,30.4047,79.3005,0.0117,14656,9079.25
recursion_k8,4000,1,14621274,1160133,42.1491,27.1813,102.0505,0.0124,14656,10608.51
recursion_k8,4000,2,14621274,1160133,17.9391,27.3191,102.4724,0.0119,14656,10608.46
recursion_k2,5000,1,12565486,1505037,112.3185,60.2697,120.153,0.0127,14656,12889.36
recursion_k2,5000,2,12565486,1505037,67.8529,60.0379,120.2456,0.0142,14656,12889.38
recursion_k4,5000,1,14104424,1505069,81.4518,46.7813,99.9488,0.0118,14656,12931.3
recursion_k4,5000,2,14104424,1505069,36.9441,47.7483,99.8343,0.0117,14656,12931.48
recursion_k8,5000,1,17181716,1505133,69.9056,46.0274,118.8378,0.0167,14656,13133.71
recursion_k8,5000,2,17181716,1505133,27.0549,45.3657,121.6372,0.0132,14656,13133.51
