exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,1504,2,752,22,1,inner_segment,sub_0,1437833,192279,11.0597,2.5098,16.8674,,,2063.92
2,1504,2,752,22,1,inner_segment,sub_1,1437833,192279,11.0597,2.6978,22.9583,,,2064.19
2,1504,2,752,22,1,outer_recursive,rec_exp2_k_segments_a,1549469,18551,4.8728,4.3331,22.1979,0.0149,14656,2393.82
2,1504,2,752,22,2,inner_segment,sub_0,1437833,192279,11.0597,2.6037,22.1925,,,2063.73
2,1504,2,752,22,2,inner_segment,sub_1,1437833,192279,11.0597,2.669,21.9805,,,2064.0
2,1504,2,752,22,2,outer_recursive,rec_exp2_k_segments_a,1549469,18551,1.6462,4.2939,21.6634,0.0152,14656,2394.04
2,1504,4,376,22,1,inner_segment,sub_0,719391,96023,4.7989,1.1177,8.3931,,,1021.36
2,1504,4,376,22,1,inner_segment,sub_1,719391,96023,4.7989,1.1624,8.7205,,,1021.49
2,1504,4,376,22,1,inner_segment,sub_2,719391,96023,4.7989,1.1745,8.8422,,,1021.39
2,1504,4,376,22,1,inner_segment,sub_3,719391,96023,4.7989,1.1894,11.7369,,,1021.32
2,1504,4,376,22,1,outer_recursive,rec_exp2_k_segments_a,3086219,19049,5.7998,4.0408,42.0427,0.0122,14656,4518.88
2,1504,4,376,22,2,inner_segment,sub_0,719391,96023,4.7989,1.1863,11.8157,,,1021.24
2,1504,4,376,22,2,inner_segment,sub_1,719391,96023,4.7989,1.2189,11.7799,,,1021.46
2,1504,4,376,22,2,inner_segment,sub_2,719391,96023,4.7989,1.2178,11.7913,,,1021.28
2,1504,4,376,22,2,inner_segment,sub_3,719391,96023,4.7989,1.2062,11.8037,,,1021.43
2,1504,4,376,22,2,outer_recursive,rec_exp2_k_segments_a,3086219,19049,1.6254,3.9404,42.2984,0.0133,14656,4502.8
2,1504,8,188,22,1,inner_segment,sub_0,360170,47895,2.2589,0.5625,4.3403,,,543.73
2,1504,8,188,22,1,inner_segment,sub_1,360170,47895,2.2589,0.5756,4.4608,,,543.67
2,1504,8,188,22,1,inner_segment,sub_2,360170,47895,2.2589,0.5833,4.5771,,,543.71
2,1504,8,188,22,1,inner_segment,sub_3,360170,47895,2.2589,0.5851,4.6234,,,543.68
2,1504,8,188,22,1,inner_segment,sub_4,360170,47895,2.2589,0.6027,4.6704,,,544.0
2,1504,8,188,22,1,inner_segment,sub_5,360170,47895,2.2589,0.603,4.7206,,,543.93
2,1504,8,188,22,1,inner_segment,sub_6,360170,47895,2.2589,0.6029,6.1089,,,544.06
2,1504,8,188,22,1,inner_segment,sub_7,360170,47895,2.2589,0.6919,6.4134,,,543.54
2,1504,8,188,22,1,outer_recursive,rec_exp2_k_segments_a,6160302,20045,5.7961,3.8634,78.4591,0.0124,14656,8539.04
2,1504,8,188,22,2,inner_segment,sub_0,360170,47895,2.2589,0.6229,6.2747,,,543.76
2,1504,8,188,22,2,inner_segment,sub_1,360170,47895,2.2589,0.6708,6.2506,,,543.7
2,1504,8,188,22,2,inner_segment,sub_2,360170,47895,2.2589,0.6668,6.3342,,,543.69
2,1504,8,188,22,2,inner_segment,sub_3,360170,47895,2.2589,0.671,6.2422,,,543.72
2,1504,8,188,22,2,inner_segment,sub_4,360170,47895,2.2589,0.6655,6.2443,,,543.73
2,1504,8,188,22,2,inner_segment,sub_5,360170,47895,2.2589,0.6642,6.2513,,,543.7
2,1504,8,188,22,2,inner_segment,sub_6,360170,47895,2.2589,0.666,6.2558,,,543.8
2,1504,8,188,22,2,inner_segment,sub_7,360170,47895,2.2589,0.6692,6.254,,,543.71
2,1504,8,188,22,2,outer_recursive,rec_exp2_k_segments_a,6160302,20045,1.6182,3.892,78.6892,0.0122,14656,8544.9
2,2000,8,250,22,1,inner_segment,sub_0,478636,63767,2.7194,0.7448,5.1481,,,673.63
2,2000,8,250,22,1,inner_segment,sub_1,478636,63767,2.7194,0.7443,5.2377,,,673.83
2,2000,8,250,22,1,inner_segment,sub_2,478636,63767,2.7194,0.7656,5.4111,,,673.64
2,2000,8,250,22,1,inner_segment,sub_3,478636,63767,2.7194,0.7703,7.205,,,673.54
2,2000,8,250,22,1,inner_segment,sub_4,478636,63767,2.7194,0.8438,7.4093,,,673.8
2,2000,8,250,22,1,inner_segment,sub_5,478636,63767,2.7194,0.8437,7.2803,,,673.51
2,2000,8,250,22,1,inner_segment,sub_6,478636,63767,2.7194,0.8387,7.227,,,673.77
2,2000,8,250,22,1,inner_segment,sub_7,478636,63767,2.7194,0.8235,7.2159,,,673.71
2,2000,8,250,22,1,outer_recursive,rec_exp2_k_segments_a,6184630,25997,8.7294,6.6119,79.8555,0.0177,14656,8900.46
2,2000,8,250,22,2,inner_segment,sub_0,478636,63767,2.7194,0.7851,7.2126,,,673.67
2,2000,8,250,22,2,inner_segment,sub_1,478636,63767,2.7194,0.828,7.2254,,,673.73
2,2000,8,250,22,2,inner_segment,sub_2,478636,63767,2.7194,0.836,7.2088,,,673.55
2,2000,8,250,22,2,inner_segment,sub_3,478636,63767,2.7194,0.8333,7.2124,,,673.5
2,2000,8,250,22,2,inner_segment,sub_4,478636,63767,2.7194,0.829,7.2352,,,673.68
2,2000,8,250,22,2,inner_segment,sub_5,478636,63767,2.7194,0.8308,7.2139,,,673.52
2,2000,8,250,22,2,inner_segment,sub_6,478636,63767,2.7194,0.8332,7.2417,,,673.69
2,2000,8,250,22,2,inner_segment,sub_7,478636,63767,2.7194,0.8328,7.279,,,673.54
2,2000,8,250,22,2,outer_recursive,rec_exp2_k_segments_a,6184630,25997,2.6292,6.6616,79.961,0.0121,14656,8849.04
2,2000,4,500,22,1,inner_segment,sub_0,956324,127767,5.9849,1.5409,9.9129,,,1339.85
2,2000,4,500,22,1,inner_segment,sub_1,956324,127767,5.9849,1.6012,10.1552,,,1339.91
2,2000,4,500,22,1,inner_segment,sub_2,956324,127767,5.9849,1.6467,12.3465,,,1339.96
2,2000,4,500,22,1,inner_segment,sub_3,956324,127767,5.9849,1.7019,13.8659,,,1339.78
2,2000,4,500,22,1,outer_recursive,rec_exp2_k_segments_a,3111131,25001,9.6469,6.9035,42.6158,0.0135,14656,4755.63
2,2000,4,500,22,2,inner_segment,sub_0,956324,127767,5.9849,1.5979,13.682,,,1339.74
2,2000,4,500,22,2,inner_segment,sub_1,956324,127767,5.9849,1.6416,13.5686,,,1340.07
2,2000,4,500,22,2,inner_segment,sub_2,956324,127767,5.9849,1.6444,13.6447,,,1339.95
2,2000,4,500,22,2,inner_segment,sub_3,956324,127767,5.9849,1.6443,13.7183,,,1339.83
2,2000,4,500,22,2,outer_recursive,rec_exp2_k_segments_a,3111131,25001,2.6464,6.7295,42.8565,0.0135,14656,4802.93
2,2000,2,1000,22,1,inner_segment,sub_0,1911699,255767,13.9932,3.8636,20.7831,,,2658.32
2,2000,2,1000,22,1,inner_segment,sub_1,1911699,255767,13.9932,3.9901,26.2485,,,2658.06
2,2000,2,1000,22,1,outer_recursive,rec_exp2_k_segments_a,1574089,24503,9.717,7.3742,23.9802,0.015,14656,2684.93
2,2000,2,1000,22,2,inner_segment,sub_0,1911699,255767,13.9932,3.7286,26.1572,,,2658.18
2,2000,2,1000,22,2,inner_segment,sub_1,1911699,255767,13.9932,3.8703,26.0837,,,2657.93
2,2000,2,1000,22,2,outer_recursive,rec_exp2_k_segments_a,1574089,24503,2.6152,7.362,23.9477,0.0146,14656,2705.93
2,2504,2,1252,23,1,inner_segment,sub_0,2500481,334040,20.7945,5.2352,37.8723,,,3635.64
2,2504,2,1252,23,1,inner_segment,sub_1,2500481,334040,20.7945,5.4396,40.5275,,,3635.41
2,2504,2,1252,23,1,outer_recursive,rec_exp2_k_segments_a,1599377,30573,13.5708,11.3524,25.2163,0.0146,14656,3312.61
2,2504,2,1252,23,2,inner_segment,sub_0,2500481,334040,20.7945,5.3991,40.6328,,,3635.55
2,2504,2,1252,23,2,inner_segment,sub_1,2500481,334040,20.7945,5.4069,40.4907,,,3635.39
2,2504,2,1252,23,2,outer_recursive,rec_exp2_k_segments_a,1599377,30573,3.851,11.3788,25.2227,0.0144,14656,3312.55
2,2504,4,626,23,1,inner_segment,sub_0,1250672,166898,9.397,2.1483,15.3157,,,1800.23
2,2504,4,626,23,1,inner_segment,sub_1,1250672,166898,9.397,2.224,20.3879,,,1800.4
2,2504,4,626,23,1,inner_segment,sub_2,1250672,166898,9.397,2.2546,21.2074,,,1800.56
2,2504,4,626,23,1,inner_segment,sub_3,1250672,166898,9.397,2.2545,21.0888,,,1800.54
2,2504,4,626,23,1,outer_recursive,rec_exp2_k_segments_a,3136590,31093,14.7464,10.4618,44.4917,0.0134,14656,4873.78
2,2504,4,626,23,2,inner_segment,sub_0,1250672,166898,9.397,2.1567,21.1685,,,1800.44
2,2504,4,626,23,2,inner_segment,sub_1,1250672,166898,9.397,2.2238,21.0108,,,1800.55
2,2504,4,626,23,2,inner_segment,sub_2,1250672,166898,9.397,2.1989,21.0037,,,1800.56
2,2504,4,626,23,2,inner_segment,sub_3,1250672,166898,9.397,2.2187,21.0743,,,1800.21
2,2504,4,626,23,2,outer_recursive,rec_exp2_k_segments_a,3136590,31093,3.8721,10.4529,44.7343,0.0133,14656,4825.89
2,2504,8,313,23,1,inner_segment,sub_0,625767,83327,4.0835,0.9612,7.8674,,,938.5
2,2504,8,313,23,1,inner_segment,sub_1,625767,83327,4.0835,0.9781,8.152,,,938.47
2,2504,8,313,23,1,inner_segment,sub_2,625767,83327,4.0835,1.0123,8.2968,,,938.7
2,2504,8,313,23,1,inner_segment,sub_3,625767,83327,4.0835,1.0366,10.6476,,,938.55
2,2504,8,313,23,1,inner_segment,sub_4,625767,83327,4.0835,1.1003,11.2147,,,938.44
2,2504,8,313,23,1,inner_segment,sub_5,625767,83327,4.0835,1.0539,11.184,,,938.39
2,2504,8,313,23,1,inner_segment,sub_6,625767,83327,4.0835,1.063,11.0707,,,938.73
2,2504,8,313,23,1,inner_segment,sub_7,625767,83327,4.0835,1.0568,11.0471,,,938.62
2,2504,8,313,23,1,outer_recursive,rec_exp2_k_segments_a,6210432,32133,14.9763,10.0435,80.6264,0.0123,14656,8950.05
2,2504,8,313,23,2,inner_segment,sub_0,625767,83327,4.0835,1.0113,11.0768,,,938.72
2,2504,8,313,23,2,inner_segment,sub_1,625767,83327,4.0835,1.0591,11.0467,,,938.19
2,2504,8,313,23,2,inner_segment,sub_2,625767,83327,4.0835,1.0704,11.0895,,,938.47
2,2504,8,313,23,2,inner_segment,sub_3,625767,83327,4.0835,1.0458,11.1378,,,938.72
2,2504,8,313,23,2,inner_segment,sub_4,625767,83327,4.0835,1.034,11.0772,,,938.5
2,2504,8,313,23,2,inner_segment,sub_5,625767,83327,4.0835,1.0512,11.1018,,,938.35
2,2504,8,313,23,2,inner_segment,sub_6,625767,83327,4.0835,1.0481,11.0787,,,938.54
2,2504,8,313,23,2,inner_segment,sub_7,625767,83327,4.0835,1.0496,11.0607,,,938.34
2,2504,8,313,23,2,outer_recursive,rec_exp2_k_segments_a,6210432,32133,3.999,10.1902,81.1837,0.0122,14656,8873.88
2,3000,8,375,24,1,inner_segment,sub_0,781620,103995,5.3419,1.1841,10.3241,,,1102.89
2,3000,8,375,24,1,inner_segment,sub_1,781620,103995,5.3419,1.3193,12.4704,,,1103.23
2,3000,8,375,24,1,inner_segment,sub_2,781620,103995,5.3419,1.2796,12.3211,,,1103.2
2,3000,8,375,24,1,inner_segment,sub_3,781620,103995,5.3419,1.2837,12.2945,,,1103.28
2,3000,8,375,24,1,inner_segment,sub_4,781620,103995,5.3419,1.3128,12.422,,,1102.95
2,3000,8,375,24,1,inner_segment,sub_5,781620,103995,5.3419,1.2546,12.2876,,,1103.31
2,3000,8,375,24,1,inner_segment,sub_6,781620,103995,5.3419,1.2529,12.2645,,,1103.07
2,3000,8,375,24,1,inner_segment,sub_7,781620,103995,5.3419,1.2676,12.2932,,,1103.09
