exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,96,2,48,14,1,inner_segment,sub_0,60423,7919,0.4264,0.2476,0.8684,,,101.39
2,96,2,48,14,1,inner_segment,sub_1,60423,7919,0.4264,0.2361,0.7744,,,101.94
2,96,2,48,14,1,outer_recursive,rec_exp2_k_segments_a,1477883,1479,0.2415,0.2034,15.4421,0.0123,14656,2097.51
2,96,2,48,14,2,inner_segment,sub_0,60423,7919,0.4264,0.2513,0.8593,,,101.73
2,96,2,48,14,2,inner_segment,sub_1,60423,7919,0.4264,0.2323,0.8567,,,101.79
2,96,2,48,14,2,outer_recursive,rec_exp2_k_segments_a,1477883,1479,0.1975,0.203,21.0114,0.0158,14656,2101.53
2,96,4,24,14,1,inner_segment,sub_0,31029,3887,0.3109,0.2076,0.4496,,,62.25
2,96,4,24,14,1,inner_segment,sub_1,31029,3887,0.3109,0.1924,0.4483,,,62.19
2,96,4,24,14,1,inner_segment,sub_2,31029,3887,0.3109,0.2017,0.4622,,,62.34
2,96,4,24,14,1,inner_segment,sub_3,31029,3887,0.3109,0.1965,0.4438,,,62.25
2,96,4,24,14,1,outer_recursive,rec_exp2_k_segments_a,3013407,1801,0.2484,0.1996,34.0162,0.0136,14656,4168.6
2,96,4,24,14,2,inner_segment,sub_0,31029,3887,0.3109,0.2478,0.6072,,,62.44
2,96,4,24,14,2,inner_segment,sub_1,31029,3887,0.3109,0.265,0.6092,,,62.15
2,96,4,24,14,2,inner_segment,sub_2,31029,3887,0.3109,0.2606,0.6168,,,62.33
2,96,4,24,14,2,inner_segment,sub_3,31029,3887,0.3109,0.2584,0.6113,,,62.12
2,96,4,24,14,2,outer_recursive,rec_exp2_k_segments_a,3013407,1801,0.2678,0.2128,39.8616,0.0138,14656,4171.73
2,96,8,12,14,1,inner_segment,sub_0,16332,1871,0.2447,0.2133,0.275,,,45.02
2,96,8,12,14,1,inner_segment,sub_1,16332,1871,0.2447,0.1817,0.2685,,,45.14
2,96,8,12,14,1,inner_segment,sub_2,16332,1871,0.2447,0.1758,0.2788,,,45.27
2,96,8,12,14,1,inner_segment,sub_3,16332,1871,0.2447,0.1918,0.3021,,,45.27
2,96,8,12,14,1,inner_segment,sub_4,16332,1871,0.2447,0.1792,0.2701,,,45.27
2,96,8,12,14,1,inner_segment,sub_5,16332,1871,0.2447,0.1822,0.2725,,,45.39
2,96,8,12,14,1,inner_segment,sub_6,16332,1871,0.2447,0.1783,0.2698,,,45.39
2,96,8,12,14,1,inner_segment,sub_7,16332,1871,0.2447,0.1783,0.274,,,45.52
2,96,8,12,14,1,outer_recursive,rec_exp2_k_segments_a,6084454,2445,0.2647,0.2098,73.0454,0.012,14656,8039.19
2,96,8,12,14,2,inner_segment,sub_0,16332,1871,0.2447,0.2231,0.3391,,,46.46
2,96,8,12,14,2,inner_segment,sub_1,16332,1871,0.2447,0.227,0.3521,,,46.46
2,96,8,12,14,2,inner_segment,sub_2,16332,1871,0.2447,0.2358,0.3459,,,46.46
2,96,8,12,14,2,inner_segment,sub_3,16332,1871,0.2447,0.2351,0.3502,,,46.46
2,96,8,12,14,2,inner_segment,sub_4,16332,1871,0.2447,0.2662,0.3595,,,46.46
2,96,8,12,14,2,inner_segment,sub_5,16332,1871,0.2447,0.2376,0.3451,,,46.46
2,96,8,12,14,2,inner_segment,sub_6,16332,1871,0.2447,0.2406,0.3474,,,46.46
2,96,8,12,14,2,inner_segment,sub_7,16332,1871,0.2447,0.2383,0.3502,,,46.46
2,96,8,12,14,2,outer_recursive,rec_exp2_k_segments_a,6084454,2445,0.257,0.2357,75.6278,0.012,14656,8092.68
2,256,4,64,16,1,inner_segment,sub_0,90823,11993,0.5534,0.2545,1.4264,,,159.6
2,256,4,64,16,1,inner_segment,sub_1,90823,11993,0.5534,0.2606,1.2286,,,159.51
2,256,4,64,16,1,inner_segment,sub_2,90823,11993,0.5534,0.2613,1.2494,,,159.66
2,256,4,64,16,1,inner_segment,sub_3,90823,11993,0.5534,0.2613,1.2446,,,159.78
2,256,4,64,16,1,outer_recursive,rec_exp2_k_segments_a,3021969,3809,0.3737,0.3055,35.0731,0.0137,14656,4186.59
2,256,4,64,16,2,inner_segment,sub_0,90823,11993,0.5534,0.3252,1.8732,,,159.72
2,256,4,64,16,2,inner_segment,sub_1,90823,11993,0.5534,0.3376,1.8106,,,159.76
2,256,4,64,16,2,inner_segment,sub_2,90823,11993,0.5534,0.3359,1.8174,,,159.7
2,256,4,64,16,2,inner_segment,sub_3,90823,11993,0.5534,0.3541,1.8169,,,159.28
2,256,4,64,16,2,outer_recursive,rec_exp2_k_segments_a,3021969,3809,0.3115,0.3279,39.8991,0.0137,14656,4220.11
2,256,2,128,16,1,inner_segment,sub_0,180183,24153,1.0589,0.3762,2.2834,,,272.14
2,256,2,128,16,1,inner_segment,sub_1,180183,24153,1.0589,0.3717,2.3141,,,272.43
2,256,2,128,16,1,outer_recursive,rec_exp2_k_segments_a,1486248,3443,0.3912,0.3059,15.6353,0.0114,14656,2065.74
2,256,2,128,16,2,inner_segment,sub_0,180183,24153,1.0589,0.4096,2.5414,,,271.93
2,256,2,128,16,2,inner_segment,sub_1,180183,24153,1.0589,0.4088,2.5078,,,272.32
2,256,2,128,16,2,outer_recursive,rec_exp2_k_segments_a,1486248,3443,0.2441,0.317,21.2416,0.0153,14656,2094.95
2,512,8,64,18,1,inner_segment,sub_0,101628,13379,0.6086,0.2677,1.3305,,,157.57
2,512,8,64,18,1,inner_segment,sub_1,101628,13379,0.6086,0.2615,1.2981,,,157.94
2,512,8,64,18,1,inner_segment,sub_2,101628,13379,0.6086,0.2629,1.3123,,,158.04
2,512,8,64,18,1,inner_segment,sub_3,101628,13379,0.6086,0.2648,1.302,,,157.89
2,512,8,64,18,1,inner_segment,sub_4,101628,13379,0.6086,0.2675,1.3139,,,157.46
2,512,8,64,18,1,inner_segment,sub_5,101628,13379,0.6086,0.2639,1.3232,,,157.88
2,512,8,64,18,1,inner_segment,sub_6,101628,13379,0.6086,0.2616,1.3349,,,157.94
2,512,8,64,18,1,inner_segment,sub_7,101628,13379,0.6086,0.2777,1.3721,,,157.7
2,512,8,64,18,1,outer_recursive,rec_exp2_k_segments_a,6107734,7789,0.8224,0.6409,76.5909,0.0118,14656,8131.91
2,512,8,64,18,2,inner_segment,sub_0,101628,13379,0.6086,0.2921,1.7578,,,157.84
2,512,8,64,18,2,inner_segment,sub_1,101628,13379,0.6086,0.3205,1.7759,,,157.91
2,512,8,64,18,2,inner_segment,sub_2,101628,13379,0.6086,0.326,1.8832,,,157.81
2,512,8,64,18,2,inner_segment,sub_3,101628,13379,0.6086,0.3471,1.8835,,,157.84
2,512,8,64,18,2,inner_segment,sub_4,101628,13379,0.6086,0.3378,1.908,,,158.07
2,512,8,64,18,2,inner_segment,sub_5,101628,13379,0.6086,0.3271,1.9272,,,157.88
2,512,8,64,18,2,inner_segment,sub_6,101628,13379,0.6086,0.3337,1.8805,,,157.79
2,512,8,64,18,2,inner_segment,sub_7,101628,13379,0.6086,0.3368,1.9159,,,158.07
2,512,8,64,18,2,outer_recursive,rec_exp2_k_segments_a,6107734,7789,0.4424,0.636,77.8847,0.0124,14656,8172.76
2,512,4,128,18,1,inner_segment,sub_0,201964,26947,1.1557,0.3572,2.3821,,,295.01
2,512,4,128,18,1,inner_segment,sub_1,201964,26947,1.1557,0.3698,2.408,,,294.86
2,512,4,128,18,1,inner_segment,sub_2,201964,26947,1.1557,0.3635,2.4617,,,294.85
2,512,4,128,18,1,inner_segment,sub_3,201964,26947,1.1557,0.3731,2.4785,,,295.16
2,512,4,128,18,1,outer_recursive,rec_exp2_k_segments_a,3035607,6969,0.8892,0.6706,37.3195,0.0136,14656,4223.35
2,512,4,128,18,2,inner_segment,sub_0,201964,26947,1.1557,0.4243,3.6165,,,295.11
2,512,4,128,18,2,inner_segment,sub_1,201964,26947,1.1557,0.4534,3.561,,,294.93
2,512,4,128,18,2,inner_segment,sub_2,201964,26947,1.1557,0.4569,3.5362,,,295.15
2,512,4,128,18,2,inner_segment,sub_3,201964,26947,1.1557,0.4599,3.5038,,,295.32
2,512,4,128,18,2,outer_recursive,rec_exp2_k_segments_a,3035607,6969,0.4392,0.6622,40.3689,0.0133,14656,4161.46
2,512,2,256,18,1,inner_segment,sub_0,402636,54083,2.3257,0.6369,4.503,,,576.03
2,512,2,256,18,1,inner_segment,sub_1,402636,54083,2.3257,0.6369,4.6345,,,576.24
2,512,2,256,18,1,outer_recursive,rec_exp2_k_segments_a,1499251,6559,0.881,0.6796,15.9683,0.0113,14656,2115.69
2,512,2,256,18,2,inner_segment,sub_0,402636,54083,2.3257,0.6696,5.7027,,,576.17
2,512,2,256,18,2,inner_segment,sub_1,402636,54083,2.3257,0.7304,6.7722,,,576.12
2,512,2,256,18,2,outer_recursive,rec_exp2_k_segments_a,1499251,6559,0.4398,0.7085,20.5576,0.0154,14656,2108.98
2,768,2,384,20,1,inner_segment,sub_0,668992,89645,4.2195,0.9971,8.1463,,,983.41
2,768,2,384,20,1,inner_segment,sub_1,668992,89645,4.2195,1.0241,8.3173,,,983.5
2,768,2,384,20,1,outer_recursive,rec_exp2_k_segments_a,1512400,9675,1.5242,1.3913,21.0989,0.0154,14656,2148.12
2,768,2,384,20,2,inner_segment,sub_0,668992,89645,4.2195,1.0673,11.4189,,,983.54
2,768,2,384,20,2,inner_segment,sub_1,668992,89645,4.2195,1.1016,11.4068,,,983.4
2,768,2,384,20,2,outer_recursive,rec_exp2_k_segments_a,1512400,9675,0.6233,1.3715,21.0095,0.0152,14656,2160.57
2,768,4,192,20,1,inner_segment,sub_0,335056,44717,2.0824,0.4872,4.1382,,,489.14
2,768,4,192,20,1,inner_segment,sub_1,335056,44717,2.0824,0.5061,4.2823,,,489.17
2,768,4,192,20,1,inner_segment,sub_2,335056,44717,2.0824,0.5055,4.3703,,,489.32
2,768,4,192,20,1,inner_segment,sub_3,335056,44717,2.0824,0.5118,4.4232,,,489.16
2,768,4,192,20,1,outer_recursive,rec_exp2_k_segments_a,3048953,10129,1.7114,1.3015,41.4037,0.0137,14656,4277.88
2,768,4,192,20,2,inner_segment,sub_0,335056,44717,2.0824,0.5411,6.052,,,489.41
2,768,4,192,20,2,inner_segment,sub_1,335056,44717,2.0824,0.5904,6.044,,,489.05
2,768,4,192,20,2,inner_segment,sub_2,335056,44717,2.0824,0.5868,6.0365,,,489.09
2,768,4,192,20,2,inner_segment,sub_3,335056,44717,2.0824,0.5839,6.031,,,488.86
2,768,4,192,20,2,outer_recursive,rec_exp2_k_segments_a,3048953,10129,0.6403,1.2782,40.8205,0.0134,14656,4264.97
2,768,8,96,20,1,inner_segment,sub_0,168088,22253,1.0007,0.3174,2.2066,,,277.93
2,768,8,96,20,1,inner_segment,sub_1,168088,22253,1.0007,0.3223,2.2141,,,277.96
2,768,8,96,20,1,inner_segment,sub_2,168088,22253,1.0007,0.3236,2.2677,,,277.98
2,768,8,96,20,1,inner_segment,sub_3,168088,22253,1.0007,0.327,2.2761,,,277.91
2,768,8,96,20,1,inner_segment,sub_4,168088,22253,1.0007,0.3338,2.34,,,277.83
2,768,8,96,20,1,inner_segment,sub_5,168088,22253,1.0007,0.3341,2.3564,,,277.91
2,768,8,96,20,1,inner_segment,sub_6,168088,22253,1.0007,0.3405,2.402,,,278.12
2,768,8,96,20,1,inner_segment,sub_7,168088,22253,1.0007,0.3456,2.4006,,,277.84
2,768,8,96,20,1,outer_recursive,rec_exp2_k_segments_a,6122058,11037,1.7706,1.2504,78.213,0.0121,14656,8236.28
2,768,8,96,20,2,inner_segment,sub_0,168088,22253,1.0007,0.3614,3.2479,,,277.71
2,768,8,96,20,2,inner_segment,sub_1,168088,22253,1.0007,0.4075,3.2591,,,277.98
